Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Eric Wolf,D-I,America East,8,6,0,.571,,https://stats.ncaa.org/teams/571419,https://stats.ncaa.org/people/46384
2022-23,Eric Wolf,D-I,America East,3,10,0,.231,,https://stats.ncaa.org/teams/546911,https://stats.ncaa.org/people/46384
2021-22,Travis Johnson,D-I,America East,0,13,0,.000,,https://stats.ncaa.org/teams/530063,https://stats.ncaa.org/people/43986
2020-21,Travis Johnson,D-I,America East,1,10,0,.091,,https://stats.ncaa.org/teams/507856,https://stats.ncaa.org/people/43986
2019-20,Travis Johnson,D-I,NEC,1,6,0,.143,,https://stats.ncaa.org/teams/493875,https://stats.ncaa.org/people/43986
2018-19,Travis Johnson,D-I,DI Independent,2,13,0,.133,,https://stats.ncaa.org/teams/473267,https://stats.ncaa.org/people/43986
2017-18,Travis Johnson,D-I,-,1,15,,.063,,https://stats.ncaa.org/teams/423543,https://stats.ncaa.org/people/43986
2016-17,Travis Johnson,D-I,-,1,14,0,.067,,https://stats.ncaa.org/teams/110545,https://stats.ncaa.org/people/43986
2015-16,Travis Johnson,D-I,-,1,14,0,.067,,https://stats.ncaa.org/teams/23965,https://stats.ncaa.org/people/43986
2014-15,Travis Johnson,D-I,-,0,12,0,.000,Inaugural Varsity Season,https://stats.ncaa.org/teams/105964,https://stats.ncaa.org/people/43986
2002-03,,,-,,,,,,https://stats.ncaa.org/teams/563143,
