Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Brad Barber,D-III,MAC Commonwealth,9,8,0,.529,,https://stats.ncaa.org/teams/571607,https://stats.ncaa.org/people/42566
2022-23,Brad Barber,D-III,MAC Commonwealth,9,7,0,.563,,https://stats.ncaa.org/teams/547098,https://stats.ncaa.org/people/42566
2021-22,Brad Barber,D-III,MAC Commonwealth,7,10,0,.412,,https://stats.ncaa.org/teams/530308,https://stats.ncaa.org/people/42566
2020-21,Brad Barber,D-III,MAC Commonwealth,4,5,0,.444,,https://stats.ncaa.org/teams/508099,https://stats.ncaa.org/people/42566
2019-20,Brad Barber,D-III,MAC Commonwealth,4,2,0,.667,,https://stats.ncaa.org/teams/494113,https://stats.ncaa.org/people/42566
2018-19,Brad Barber,D-III,MAC Commonwealth,10,5,0,.667,,https://stats.ncaa.org/teams/473414,https://stats.ncaa.org/people/42566
2017-18,Brad Barber,D-III,MAC Commonwealth,8,7,,.533,,https://stats.ncaa.org/teams/423686,https://stats.ncaa.org/people/42566
2016-17,Brad Barber,D-III,MAC Commonwealth,8,9,0,.471,,https://stats.ncaa.org/teams/110834,https://stats.ncaa.org/people/42566
2015-16,Brad Barber,D-III,MAC Commonwealth,5,10,0,.333,,https://stats.ncaa.org/teams/24249,https://stats.ncaa.org/people/42566
2014-15,Brad Barber,D-III,MAC Commonwealth,6,10,0,.375,,https://stats.ncaa.org/teams/106235,https://stats.ncaa.org/people/42566
2013-14,Brad Barber,D-III,MAC Commonwealth,4,12,0,.250,,https://stats.ncaa.org/teams/103797,https://stats.ncaa.org/people/42566
2012-13,Jeremy Mattoon,D-III,MAC Commonwealth,3,14,0,.176,,https://stats.ncaa.org/teams/35444,https://stats.ncaa.org/people/38717
2011-12,Jeremy Mattoon,D-III,C2C,4,13,0,.235,,https://stats.ncaa.org/teams/56970,https://stats.ncaa.org/people/38717
2010-11,Jeremy Mattoon,D-III,C2C,8,9,0,.471,,https://stats.ncaa.org/teams/29645,https://stats.ncaa.org/people/38717
2009-10,Curt Foxx,D-III,C2C,6,11,0,.353,,https://stats.ncaa.org/teams/53474,https://stats.ncaa.org/people/36459
2008-09,Curt Foxx,D-III,C2C,1,13,0,.071,,https://stats.ncaa.org/teams/95595,https://stats.ncaa.org/people/36459
2007-08,Eric Dummann,D-III,C2C,0,17,0,.000,,https://stats.ncaa.org/teams/408093,https://stats.ncaa.org/people/32927
2006-07,Eric Shultz,D-III,C2C,0,15,0,.000,,https://stats.ncaa.org/teams/179022,https://stats.ncaa.org/people/29785
2005-06,Eric Shultz,D-III,-,0,7,0,.000,,https://stats.ncaa.org/teams/222416,https://stats.ncaa.org/people/29785
2004-05,A.J. Russo,D-III,-,0,7,0,.000,Inaugural Varsity Season,https://stats.ncaa.org/teams/222197,https://stats.ncaa.org/people/9099
