Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Sammy Vogel-Seidenberg,D-II,DII Independent,2,10,0,.167,First season as active DII member.,https://stats.ncaa.org/teams/584134,https://stats.ncaa.org/people/2945422
2022-23,Sammy Vogel-Seidenberg,,-,7,8,0,.467,,https://stats.ncaa.org/teams/585118,https://stats.ncaa.org/people/2945422
2021-22,Sammy Vogel-Seidenberg,,-,7,6,0,.538,,https://stats.ncaa.org/teams/585116,https://stats.ncaa.org/people/2945422
2020-21,Sammy Vogel-Seidenberg,,-,0,1,0,.000,,https://stats.ncaa.org/teams/516336,https://stats.ncaa.org/people/2945422
2014-15,Ned Webster,,-,,,,,CLUB TEAM,https://stats.ncaa.org/teams/257468,https://stats.ncaa.org/people/38714
2013-14,Ned Webster,D-II,-,9,3,0,.750,,https://stats.ncaa.org/teams/103611,https://stats.ncaa.org/people/38714
2012-13,Ned Webster,D-II,-,8,5,0,.615,,https://stats.ncaa.org/teams/35266,https://stats.ncaa.org/people/38714
2011-12,Ned Webster,D-II,Division II Independents,7,6,0,.538,,https://stats.ncaa.org/teams/56811,https://stats.ncaa.org/people/38714
2010-11,Ned Webster,D-II,Dominican (CA),5,8,0,.385,,https://stats.ncaa.org/teams/29488,https://stats.ncaa.org/people/38714
2009-10,Ned Webster,,-,,,,,,https://stats.ncaa.org/teams/257466,https://stats.ncaa.org/people/38714
2008-09,Ned Webster,,-,,,,,,https://stats.ncaa.org/teams/371075,https://stats.ncaa.org/people/38714
2007-08,Ned Webster,,-,,,,,,https://stats.ncaa.org/teams/408120,https://stats.ncaa.org/people/38714
2006-07,Ned Webster,,-,,,,,,https://stats.ncaa.org/teams/179046,https://stats.ncaa.org/people/38714
2005-06,Ned Webster,,-,,,,,,https://stats.ncaa.org/teams/222434,https://stats.ncaa.org/people/38714
