Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Ben Suchomma,D-III,OAC,7,10,0,.412,,https://stats.ncaa.org/teams/571558,https://stats.ncaa.org/people/2710539
2022-23,Ben Suchomma,D-III,OAC,5,10,0,.333,,https://stats.ncaa.org/teams/547048,https://stats.ncaa.org/people/2710539
2021-22,Shawn Runyon,D-III,OAC,4,12,0,.250,,https://stats.ncaa.org/teams/530256,https://stats.ncaa.org/people/2120077
2020-21,Shawn Runyon,D-III,OAC,4,9,0,.308,,https://stats.ncaa.org/teams/508047,https://stats.ncaa.org/people/2120077
2019-20,Shawn Runyon,D-III,OAC,3,4,0,.429,,https://stats.ncaa.org/teams/494063,https://stats.ncaa.org/people/2120077
2018-19,Shawn Runyon,D-III,OAC,6,10,0,.375,,https://stats.ncaa.org/teams/474365,https://stats.ncaa.org/people/2120077
2010-11,,D-III,-,,,,,,https://stats.ncaa.org/teams/29545,
2009-10,,D-III,-,,,,,,https://stats.ncaa.org/teams/53382,
2008-09,,D-III,-,,,,,,https://stats.ncaa.org/teams/95507,
2003-04,,D-III,-,,,,,,https://stats.ncaa.org/teams/179538,
2002-03,,D-III,-,1,12,0,.077,,https://stats.ncaa.org/teams/179332,
2001-02,,D-III,OAC,3,9,0,.250,,https://stats.ncaa.org/teams/179132,
