Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Blake Keenan,D-III,NACC,6,11,0,.353,,https://stats.ncaa.org/teams/571759,https://stats.ncaa.org/people/2309367
2022-23,Blake Keenan,D-III,NACC,5,12,0,.294,,https://stats.ncaa.org/teams/547251,https://stats.ncaa.org/people/2309367
2021-22,Chris Button,D-III,NACC,12,7,0,.632,,https://stats.ncaa.org/teams/530406,https://stats.ncaa.org/people/2132761
2020-21,Chris Button,D-III,Midwest Lacrosse Conference,13,3,0,.813,,https://stats.ncaa.org/teams/508199,https://stats.ncaa.org/people/2132761
2019-20,Chris Button,D-III,Midwest Lacrosse Conference,5,1,0,.833,,https://stats.ncaa.org/teams/494214,https://stats.ncaa.org/people/2132761
2018-19,Chris Button,D-III,Midwest Lacrosse Conference,11,4,0,.733,,https://stats.ncaa.org/teams/473518,https://stats.ncaa.org/people/2132761
2017-18,Guy Bourdon,D-III,Midwest Lacrosse Conference,11,7,,.611,,https://stats.ncaa.org/teams/423790,https://stats.ncaa.org/people/44583
2016-17,Guy Bourdon,D-III,Midwest Lacrosse Conference,6,11,0,.353,,https://stats.ncaa.org/teams/110701,https://stats.ncaa.org/people/44583
2015-16,Guy Bourdon,D-III,Midwest Lacrosse Conference,11,5,0,.688,,https://stats.ncaa.org/teams/24120,https://stats.ncaa.org/people/44583
2014-15,Jason Farrell,D-III,Midwest Lacrosse Conference,11,5,0,.688,,https://stats.ncaa.org/teams/106112,https://stats.ncaa.org/people/42501
2013-14,Jason Farrell,D-III,Midwest Lacrosse Conference,10,6,0,.625,,https://stats.ncaa.org/teams/103676,https://stats.ncaa.org/people/42501
2012-13,Jason Farrell,D-III,Midwest Lacrosse Conference,7,9,0,.438,Inaugural Varsity Season,https://stats.ncaa.org/teams/35328,https://stats.ncaa.org/people/42501
