Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Christian Zwickert,D-II,CACC,11,4,0,.733,,https://stats.ncaa.org/teams/571504,https://stats.ncaa.org/people/26645
2022-23,Christian Zwickert,D-II,CACC,6,7,0,.462,,https://stats.ncaa.org/teams/546997,https://stats.ncaa.org/people/26645
2021-22,Christian Zwickert,D-II,CACC,11,4,0,.733,,https://stats.ncaa.org/teams/530133,https://stats.ncaa.org/people/26645
2020-21,Christian Zwickert,D-II,CACC,5,4,0,.556,,https://stats.ncaa.org/teams/507925,https://stats.ncaa.org/people/26645
2019-20,Christian Zwickert,D-II,CACC,5,0,0,1.000,,https://stats.ncaa.org/teams/493971,https://stats.ncaa.org/people/26645
2018-19,Christian Zwickert,D-II,CACC,8,7,0,.533,,https://stats.ncaa.org/teams/473362,https://stats.ncaa.org/people/26645
2017-18,Christian Zwickert,D-II,CACC,4,9,,.308,,https://stats.ncaa.org/teams/440201,https://stats.ncaa.org/people/26645
