Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Kevin Pezanowski,D-III,North Atlantic,2,12,0,.143,,https://stats.ncaa.org/teams/571616,https://stats.ncaa.org/people/6492
2022-23,Kevin Pezanowski,D-III,North Atlantic,6,9,0,.400,,https://stats.ncaa.org/teams/547107,https://stats.ncaa.org/people/6492
2021-22,Kevin Pezanowski,D-III,North Atlantic,4,9,0,.308,,https://stats.ncaa.org/teams/530170,https://stats.ncaa.org/people/6492
2020-21,Kevin Pezanowski,D-III,North Atlantic,1,0,0,1.000,Did not meet minimum number of contests played to be included in national statistical rankings,https://stats.ncaa.org/teams/507959,https://stats.ncaa.org/people/6492
2019-20,Kevin Pezanowski,D-III,North Atlantic,0,4,0,.000,,https://stats.ncaa.org/teams/497513,https://stats.ncaa.org/people/6492
