Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Andrew McMinn,D-I,ASUN,12,4,0,.750,,https://stats.ncaa.org/teams/571376,https://stats.ncaa.org/people/39943
2022-23,Andrew McMinn,D-I,ASUN,12,5,0,.706,,https://stats.ncaa.org/teams/546868,https://stats.ncaa.org/people/39943
2021-22,Andrew McMinn,D-I,ASUN,10,4,0,.714,,https://stats.ncaa.org/teams/530020,https://stats.ncaa.org/people/39943
2020-21,Brian Holman,D-I,DI Independent,4,7,0,.364,,https://stats.ncaa.org/teams/507812,https://stats.ncaa.org/people/2113876
2019-20,Brian Holman,D-I,DI Independent,3,3,0,.500,,https://stats.ncaa.org/teams/493831,https://stats.ncaa.org/people/2113876
2018-19,Brian Holman,D-I,DI Independent,5,10,0,.333,,https://stats.ncaa.org/teams/474697,https://stats.ncaa.org/people/2113876
