Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Jack Spallone,D-II,NE10,5,10,0,.333,,https://stats.ncaa.org/teams/571512,https://stats.ncaa.org/people/2825493
2022-23,Jack Spallone,D-II,NE10,2,13,0,.133,,https://stats.ncaa.org/teams/547005,https://stats.ncaa.org/people/2825493
2021-22,Tim Robbins,D-II,NE10,1,14,0,.067,,https://stats.ncaa.org/teams/530141,https://stats.ncaa.org/people/40236
2020-21,Tim Robbins,D-II,NE10,0,11,0,.000,,https://stats.ncaa.org/teams/507933,https://stats.ncaa.org/people/40236
2019-20,Tim Robbins,D-II,NE10,2,4,0,.333,,https://stats.ncaa.org/teams/493906,https://stats.ncaa.org/people/40236
2018-19,Tim Robbins,D-II,NE10,0,16,0,.000,,https://stats.ncaa.org/teams/473297,https://stats.ncaa.org/people/40236
2017-18,Tim Robbins,D-II,NE10,1,15,,.063,,https://stats.ncaa.org/teams/423573,https://stats.ncaa.org/people/40236
2016-17,Tim Robbins,D-II,NE10,1,16,0,.059,,https://stats.ncaa.org/teams/110575,https://stats.ncaa.org/people/40236
2015-16,Shannon Sligo,D-II,NE10,1,14,0,.067,,https://stats.ncaa.org/teams/23995,https://stats.ncaa.org/people/36451
2014-15,Shannon Sligo,D-II,NE10,2,13,0,.133,,https://stats.ncaa.org/teams/105993,https://stats.ncaa.org/people/36451
2013-14,Shannon Sligo,D-II,NE10,2,14,0,.125,,https://stats.ncaa.org/teams/103562,https://stats.ncaa.org/people/36451
2012-13,Shannon Sligo,D-II,NE10,1,14,0,.067,,https://stats.ncaa.org/teams/35223,https://stats.ncaa.org/people/36451
2011-12,Shannon Sligo,D-II,NE10,0,14,0,.000,,https://stats.ncaa.org/teams/56770,https://stats.ncaa.org/people/36451
2010-11,Shannon Sligo,D-II,NE10,1,13,0,.071,,https://stats.ncaa.org/teams/29446,https://stats.ncaa.org/people/36451
2009-10,Shannon Sligo,D-II,NE10,3,13,0,.188,,https://stats.ncaa.org/teams/53293,https://stats.ncaa.org/people/36451
2008-09,Shannon Sligo,D-II,NE10,0,12,0,.000,,https://stats.ncaa.org/teams/95425,https://stats.ncaa.org/people/36451
2007-08,Shannon Sligo,D-II,NE10,1,10,0,.091,,https://stats.ncaa.org/teams/407886,https://stats.ncaa.org/people/36451
2006-07,,D-II,NE10,,,,,,https://stats.ncaa.org/teams/178822,
2005-06,James Wilkins,D-II,NE10,0,10,0,.000,No team in 2007,https://stats.ncaa.org/teams/222218,https://stats.ncaa.org/people/26556
2004-05,James Wilkins,D-II,NE10,0,10,0,.000,,https://stats.ncaa.org/teams/222001,https://stats.ncaa.org/people/26556
2003-04,,D-II,NE10,0,11,,.000,,https://stats.ncaa.org/teams/179469,
2002-03,,D-II,NE10,0,10,0,.000,,https://stats.ncaa.org/teams/179264,
2001-02,,D-II,NE10,1,12,0,.077,,https://stats.ncaa.org/teams/179061,
2000-01,,D-II,-,,,,,,https://stats.ncaa.org/teams/420926,
1998-99,,D-II,-,,,,,,https://stats.ncaa.org/teams/420872,
1997-98,,D-II,-,,,,,,https://stats.ncaa.org/teams/420865,
1996-97,,D-II,-,,,,,,https://stats.ncaa.org/teams/420859,
1995-96,,D-II,-,,,,,,https://stats.ncaa.org/teams/420814,
1992-93,Randy Mercer,D-II,-,2,8,,.200,,https://stats.ncaa.org/teams/221247,https://stats.ncaa.org/people/7408
1991-92,Randy Mercer,D-II,-,1,9,,.100,,https://stats.ncaa.org/teams/299924,https://stats.ncaa.org/people/7408
