Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Joe Perruzzi,D-II,GLVC,13,4,0,.765,,https://stats.ncaa.org/teams/571468,https://stats.ncaa.org/people/2304240
2022-23,Joe Perruzzi,D-II,GLVC,10,6,0,.625,,https://stats.ncaa.org/teams/546959,https://stats.ncaa.org/people/2304240
2021-22,Joe Perruzzi,D-II,GLVC,9,6,0,.600,,https://stats.ncaa.org/teams/530095,https://stats.ncaa.org/people/2304240
2020-21,Joe Perruzzi,D-II,GLVC,5,7,0,.417,,https://stats.ncaa.org/teams/507886,https://stats.ncaa.org/people/2304240
2019-20,Joe Perruzzi,D-II,GLVC,5,2,0,.714,,https://stats.ncaa.org/teams/497496,https://stats.ncaa.org/people/2304240
