Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Pat Cooney,D-III,NEWMAC,4,10,0,.286,,https://stats.ncaa.org/teams/571532,https://stats.ncaa.org/people/24888
2022-23,Pat Cooney,D-III,CCC,11,7,0,.611,,https://stats.ncaa.org/teams/547022,https://stats.ncaa.org/people/24888
2021-22,Pat Cooney,D-III,CCC,7,8,0,.467,,https://stats.ncaa.org/teams/530230,https://stats.ncaa.org/people/24888
2020-21,Pat Cooney,D-III,CCC,4,5,0,.444,,https://stats.ncaa.org/teams/508020,https://stats.ncaa.org/people/24888
2019-20,Pat Cooney,D-III,CCC,5,1,0,.833,,https://stats.ncaa.org/teams/494036,https://stats.ncaa.org/people/24888
2018-19,Pat Cooney,D-III,CCC,6,8,0,.429,,https://stats.ncaa.org/teams/473580,https://stats.ncaa.org/people/24888
2017-18,Pat Cooney,D-III,CCC,11,7,,.611,,https://stats.ncaa.org/teams/423854,https://stats.ncaa.org/people/24888
2016-17,Pat Cooney,D-III,CCC,8,9,0,.471,,https://stats.ncaa.org/teams/110765,https://stats.ncaa.org/people/24888
2015-16,Pat Cooney,D-III,CCC,11,7,0,.611,,https://stats.ncaa.org/teams/24182,https://stats.ncaa.org/people/24888
2014-15,Pat Cooney,D-III,CCC,6,7,0,.462,,https://stats.ncaa.org/teams/106171,https://stats.ncaa.org/people/24888
2013-14,Pat Cooney,D-III,CCC,15,5,0,.750,,https://stats.ncaa.org/teams/103734,https://stats.ncaa.org/people/24888
2012-13,Pat Cooney,D-III,CCC,7,10,0,.412,,https://stats.ncaa.org/teams/35383,https://stats.ncaa.org/people/24888
2011-12,Pat Cooney,D-III,CCC,1,6,0,.143,,https://stats.ncaa.org/teams/56912,https://stats.ncaa.org/people/24888
2010-11,Pat Cooney,D-III,CCC,9,8,0,.529,,https://stats.ncaa.org/teams/29588,https://stats.ncaa.org/people/24888
2009-10,Pat Cooney,D-III,CCC,9,8,0,.529,,https://stats.ncaa.org/teams/53424,https://stats.ncaa.org/people/24888
2008-09,Pat Cooney,D-III,CCC,10,6,0,.625,,https://stats.ncaa.org/teams/95547,https://stats.ncaa.org/people/24888
2007-08,Pat Cooney,D-III,CCC,7,9,0,.438,,https://stats.ncaa.org/teams/408025,https://stats.ncaa.org/people/24888
2006-07,Pat Cooney,D-III,CCC,7,9,0,.438,,https://stats.ncaa.org/teams/178958,https://stats.ncaa.org/people/24888
2005-06,Pat Cooney,D-III,CCC,11,5,0,.688,,https://stats.ncaa.org/teams/222352,https://stats.ncaa.org/people/24888
2004-05,Pat Cooney,D-III,CCC,4,8,0,.333,,https://stats.ncaa.org/teams/222134,https://stats.ncaa.org/people/24888
2003-04,Pat Cooney,D-III,CCC,0,10,,.000,,https://stats.ncaa.org/teams/179597,https://stats.ncaa.org/people/24888
2002-03,,D-III,CCC,4,7,0,.364,,https://stats.ncaa.org/teams/179389,
2001-02,,D-III,CCC,2,9,0,.182,,https://stats.ncaa.org/teams/179187,
2000-01,,D-III,-,,,,,,https://stats.ncaa.org/teams/421174,
1999-00,,D-III,-,,,,,,https://stats.ncaa.org/teams/421146,
1998-99,,D-III,-,,,,,,https://stats.ncaa.org/teams/421086,
1997-98,,D-III,-,,,,,,https://stats.ncaa.org/teams/421052,
