Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Liam Gleason,D-I,MAAC,8,8,0,.500,,https://stats.ncaa.org/teams/571433,https://stats.ncaa.org/people/2110570
2022-23,Liam Gleason,D-I,MAAC,9,7,0,.563,,https://stats.ncaa.org/teams/546925,https://stats.ncaa.org/people/2110570
2021-22,Liam Gleason,D-I,MAAC,6,9,0,.400,,https://stats.ncaa.org/teams/530077,https://stats.ncaa.org/people/2110570
2020-21,Liam Gleason,D-I,MAAC,0,8,0,.000,,https://stats.ncaa.org/teams/507870,https://stats.ncaa.org/people/2110570
2019-20,Liam Gleason,D-I,MAAC,2,4,0,.333,,https://stats.ncaa.org/teams/493889,https://stats.ncaa.org/people/2110570
2018-19,Liam Gleason,D-I,MAAC,6,7,0,.462,,https://stats.ncaa.org/teams/473281,https://stats.ncaa.org/people/2110570
2017-18,John Svec,D-I,MAAC,3,9,,.250,,https://stats.ncaa.org/teams/423557,https://stats.ncaa.org/people/39318
2016-17,John Svec,D-I,MAAC,3,11,0,.214,,https://stats.ncaa.org/teams/110559,https://stats.ncaa.org/people/39318
2015-16,John Svec,D-I,MAAC,3,10,0,.231,,https://stats.ncaa.org/teams/23979,https://stats.ncaa.org/people/39318
2014-15,John Svec,D-I,MAAC,5,9,0,.357,,https://stats.ncaa.org/teams/105978,https://stats.ncaa.org/people/39318
2013-14,John Svec,D-I,MAAC,11,6,0,.647,,https://stats.ncaa.org/teams/103547,https://stats.ncaa.org/people/39318
2012-13,John Svec,D-I,MAAC,8,9,0,.471,,https://stats.ncaa.org/teams/35208,https://stats.ncaa.org/people/39318
2011-12,John Svec,D-I,MAAC,11,5,0,.688,,https://stats.ncaa.org/teams/56756,https://stats.ncaa.org/people/39318
2010-11,Brian Brecht,D-I,MAAC,13,5,0,.722,,https://stats.ncaa.org/teams/29431,https://stats.ncaa.org/people/24788
2009-10,Brian Brecht,D-I,MAAC,12,5,0,.706,,https://stats.ncaa.org/teams/53278,https://stats.ncaa.org/people/24788
2008-09,Brian Brecht,D-I,MAAC,12,6,0,.667,,https://stats.ncaa.org/teams/95410,https://stats.ncaa.org/people/24788
2007-08,Brian Brecht,D-I,MAAC,10,6,0,.625,,https://stats.ncaa.org/teams/408028,https://stats.ncaa.org/people/24788
2006-07,Brian Brecht,D-I,MAAC,10,6,0,.625,,https://stats.ncaa.org/teams/178961,https://stats.ncaa.org/people/24788
2005-06,Brian Brecht,D-I,MAAC,4,10,0,.286,,https://stats.ncaa.org/teams/222355,https://stats.ncaa.org/people/24788
2004-05,Brian Brecht,D-I,MAAC,4,11,0,.267,,https://stats.ncaa.org/teams/222137,https://stats.ncaa.org/people/24788
2003-04,Roger Manion,D-I,-,4,9,0,.308,,https://stats.ncaa.org/teams/179600,https://stats.ncaa.org/people/7570
2002-03,Roger Manion,D-I,MAAC,2,13,0,.133,,https://stats.ncaa.org/teams/179392,https://stats.ncaa.org/people/7570
