Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Mike Murphy,D-I,Ivy League,9,6,0,.600,,https://stats.ncaa.org/teams/571423,https://stats.ncaa.org/people/32885
2022-23,Mike Murphy,D-I,Ivy League,7,6,0,.538,,https://stats.ncaa.org/teams/546915,https://stats.ncaa.org/people/32885
2021-22,Mike Murphy,D-I,Ivy League,11,5,0,.688,,https://stats.ncaa.org/teams/530067,https://stats.ncaa.org/people/32885
2020-21,Mike Murphy,D-I,Ivy League,1,0,0,1.000,,https://stats.ncaa.org/teams/507860,https://stats.ncaa.org/people/32885
2019-20,Mike Murphy,D-I,Ivy League,2,3,0,.400,,https://stats.ncaa.org/teams/493879,https://stats.ncaa.org/people/32885
2018-19,Mike Murphy,D-I,Ivy League,12,4,0,.750,,https://stats.ncaa.org/teams/473271,https://stats.ncaa.org/people/32885
2017-18,Mike Murphy,D-I,Ivy League,7,8,,.467,,https://stats.ncaa.org/teams/423547,https://stats.ncaa.org/people/32885
2016-17,Mike Murphy,D-I,Ivy League,7,6,0,.538,,https://stats.ncaa.org/teams/110549,https://stats.ncaa.org/people/32885
2015-16,Mike Murphy,D-I,Ivy League,8,7,0,.533,,https://stats.ncaa.org/teams/23969,https://stats.ncaa.org/people/32885
2014-15,Mike Murphy,D-I,Ivy League,6,7,0,.462,,https://stats.ncaa.org/teams/105968,https://stats.ncaa.org/people/32885
2013-14,Mike Murphy,D-I,Ivy League,11,4,0,.733,,https://stats.ncaa.org/teams/103537,https://stats.ncaa.org/people/32885
2012-13,Mike Murphy,D-I,Ivy League,8,5,0,.615,,https://stats.ncaa.org/teams/35199,https://stats.ncaa.org/people/32885
2011-12,Mike Murphy,D-I,Ivy League,3,10,0,.231,,https://stats.ncaa.org/teams/56747,https://stats.ncaa.org/people/32885
2010-11,Mike Murphy,D-I,Ivy League,8,7,0,.533,,https://stats.ncaa.org/teams/29422,https://stats.ncaa.org/people/32885
2009-10,Mike Murphy,D-I,Ivy League,5,8,0,.385,,https://stats.ncaa.org/teams/53269,https://stats.ncaa.org/people/32885
2008-09,Brian Voelker,D-I,Ivy League,5,8,0,.385,,https://stats.ncaa.org/teams/95401,https://stats.ncaa.org/people/24786
2007-08,Brian Voelker,D-I,Ivy League,6,7,0,.462,,https://stats.ncaa.org/teams/407996,https://stats.ncaa.org/people/24786
2006-07,Brian Voelker,D-I,Ivy League,6,7,0,.462,,https://stats.ncaa.org/teams/178932,https://stats.ncaa.org/people/24786
2005-06,Brian Voelker,D-I,Ivy League,10,4,0,.714,,https://stats.ncaa.org/teams/222326,https://stats.ncaa.org/people/24786
2004-05,Brian Voelker,D-I,Ivy League,2,11,0,.154,,https://stats.ncaa.org/teams/222109,https://stats.ncaa.org/people/24786
2003-04,Brian Voelker,D-I,-,7,7,0,.500,,https://stats.ncaa.org/teams/179574,https://stats.ncaa.org/people/24786
2002-03,Brian Voelker,D-I,Ivy League,6,7,0,.462,,https://stats.ncaa.org/teams/179366,https://stats.ncaa.org/people/24786
2001-02,Matt Hogan,D-I,Ivy League,9,4,0,.692,,https://stats.ncaa.org/teams/179164,https://stats.ncaa.org/people/6908
2000-01,Marc Van Arsdale,D-I,-,6,7,0,.462,,https://stats.ncaa.org/teams/141207,https://stats.ncaa.org/people/9893
1999-00,Marc Van Arsdale,D-I,-,5,9,0,.357,,https://stats.ncaa.org/teams/141027,https://stats.ncaa.org/people/9893
1998-99,Marc Van Arsdale,D-I,-,6,8,0,.429,,https://stats.ncaa.org/teams/221923,https://stats.ncaa.org/people/9893
1997-98,Marc Van Arsdale,D-I,-,4,9,0,.308,,https://stats.ncaa.org/teams/221758,https://stats.ncaa.org/people/9893
1996-97,Marc Van Arsdale,D-I,-,6,6,0,.500,,https://stats.ncaa.org/teams/371004,https://stats.ncaa.org/people/9893
1995-96,Terry Corcoran,D-I,-,4,10,0,.286,,https://stats.ncaa.org/teams/336796,https://stats.ncaa.org/people/8016
1994-95,Terry Corcoran,D-I,-,6,8,0,.429,,https://stats.ncaa.org/teams/221606,https://stats.ncaa.org/people/8016
1993-94,G.W. Mix,D-I,-,6,8,0,.429,,https://stats.ncaa.org/teams/221465,https://stats.ncaa.org/people/9895
1992-93,G.W. Mix,D-I,-,5,9,0,.357,,https://stats.ncaa.org/teams/221325,https://stats.ncaa.org/people/9895
1991-92,G.W. Mix,D-I,-,4,9,0,.308,,https://stats.ncaa.org/teams/299997,https://stats.ncaa.org/people/9895
1990-91,G.W. Mix,D-I,-,6,7,0,.462,,https://stats.ncaa.org/teams/407826,https://stats.ncaa.org/people/9895
1989-90,Tony Seaman,D-I,-,6,7,0,.462,,https://stats.ncaa.org/teams/178766,https://stats.ncaa.org/people/8166
1988-89,Tony Seaman,D-I,-,9,5,0,.643,,https://stats.ncaa.org/teams/140879,https://stats.ncaa.org/people/8166
1987-88,Tony Seaman,D-I,-,11,4,0,.733,,https://stats.ncaa.org/teams/370869,https://stats.ncaa.org/people/8166
1986-87,Tony Seaman,D-I,-,10,5,0,.667,,https://stats.ncaa.org/teams/370754,https://stats.ncaa.org/people/8166
1985-86,Tony Seaman,D-I,-,6,7,0,.462,,https://stats.ncaa.org/teams/370642,https://stats.ncaa.org/people/8166
1984-85,Tony Seaman,D-I,-,10,4,0,.714,,https://stats.ncaa.org/teams/336670,https://stats.ncaa.org/people/8166
1983-84,Tony Seaman,D-I,-,12,2,0,.857,,https://stats.ncaa.org/teams/336563,https://stats.ncaa.org/people/8166
1982-83,Tony Seaman,D-I,-,10,3,0,.769,,https://stats.ncaa.org/teams/140767,https://stats.ncaa.org/people/8166
1981-82,Charlie Coker,D-I,-,5,8,0,.385,,https://stats.ncaa.org/teams/370535,https://stats.ncaa.org/people/9897
1980-81,Charlie Coker,D-I,-,6,5,0,.545,,https://stats.ncaa.org/teams/221208,https://stats.ncaa.org/people/9897
1979-80,Charlie Coker,D-I,-,5,7,0,.417,,https://stats.ncaa.org/teams/407718,https://stats.ncaa.org/people/9897
1978-79,Charlie Coker,D-I,-,1,9,0,.100,,https://stats.ncaa.org/teams/257431,https://stats.ncaa.org/people/9897
1977-78,Charlie Coker,D-I,-,2,7,0,.222,,https://stats.ncaa.org/teams/336466,https://stats.ncaa.org/people/9897
1976-77,Jim Adams,D-I,-,10,2,0,.833,,https://stats.ncaa.org/teams/178663,https://stats.ncaa.org/people/9930
1975-76,Jim Adams,D-I,-,4,6,0,.400,,https://stats.ncaa.org/teams/370443,https://stats.ncaa.org/people/9930
1974-75,Jim Adams,D-I,-,7,4,0,.636,,https://stats.ncaa.org/teams/407627,https://stats.ncaa.org/people/9930
1973-74,Jim Adams,D-I,-,7,5,0,.583,,https://stats.ncaa.org/teams/257343,https://stats.ncaa.org/people/9930
1972-73,Jim Adams,D-I,-,5,4,0,.556,,https://stats.ncaa.org/teams/221118,https://stats.ncaa.org/people/9930
1971-72,Jim Adams,D-I,-,4,2,0,.667,,https://stats.ncaa.org/teams/370357,https://stats.ncaa.org/people/9930
1970-71,Jim Adams,D-I,-,6,5,0,.545,,https://stats.ncaa.org/teams/336382,https://stats.ncaa.org/people/9930
1969-70,Jim Adams,D-I,-,6,7,0,.462,,https://stats.ncaa.org/teams/178581,https://stats.ncaa.org/people/9930
1968-69,Avery Blake,D-I,-,8,3,0,.727,,https://stats.ncaa.org/teams/336310,https://stats.ncaa.org/people/9654
1967-68,Avery Blake,D-I,-,7,5,0,.583,,https://stats.ncaa.org/teams/336243,https://stats.ncaa.org/people/9654
1966-67,Avery Blake,D-I,-,9,4,0,.692,,https://stats.ncaa.org/teams/221044,https://stats.ncaa.org/people/9654
1965-66,Avery Blake,D-I,-,6,4,0,.600,,https://stats.ncaa.org/teams/299900,https://stats.ncaa.org/people/9654
1964-65,Avery Blake,D-I,-,8,3,0,.727,,https://stats.ncaa.org/teams/336182,https://stats.ncaa.org/people/9654
1963-64,Avery Blake,D-I,-,5,5,0,.500,,https://stats.ncaa.org/teams/299843,https://stats.ncaa.org/people/9654
1962-63,Avery Blake,D-I,-,4,7,0,.364,,https://stats.ncaa.org/teams/407553,https://stats.ncaa.org/people/9654
1961-62,Avery Blake,D-I,-,5,7,0,.417,,https://stats.ncaa.org/teams/220986,https://stats.ncaa.org/people/9654
1960-61,Avery Blake,D-I,-,7,3,1,.682,,https://stats.ncaa.org/teams/140685,https://stats.ncaa.org/people/9654
1959-60,Avery Blake,D-I,-,7,5,0,.583,,https://stats.ncaa.org/teams/299791,https://stats.ncaa.org/people/9654
1958-59,Robert Matthews,D-I,-,4,9,0,.308,,https://stats.ncaa.org/teams/220937,https://stats.ncaa.org/people/9898
1957-58,Robert Matthews,D-I,-,4,9,0,.308,,https://stats.ncaa.org/teams/299743,https://stats.ncaa.org/people/9898
1956-57,Robert Matthews,D-I,-,3,8,0,.273,,https://stats.ncaa.org/teams/407505,https://stats.ncaa.org/people/9898
1955-56,Robert Matthews,D-I,-,0,12,0,.000,,https://stats.ncaa.org/teams/178518,https://stats.ncaa.org/people/9898
1954-55,Robert Matthews,D-I,-,4,8,1,.346,,https://stats.ncaa.org/teams/220891,https://stats.ncaa.org/people/9898
1953-54,Percy Belfield,D-I,-,,,,,,https://stats.ncaa.org/teams/257275,https://stats.ncaa.org/people/9899
1952-53,Percy Belfield,D-I,-,,,,,,https://stats.ncaa.org/teams/336131,https://stats.ncaa.org/people/9899
1951-52,Percy Belfield,D-I,-,4,8,,.333,,https://stats.ncaa.org/teams/220849,https://stats.ncaa.org/people/9899
1950-51,Percy Belfield,D-I,-,,,,,,https://stats.ncaa.org/teams/257233,https://stats.ncaa.org/people/9899
1949-50,Percy Belfield,D-I,-,1,10,,.091,,https://stats.ncaa.org/teams/140637,https://stats.ncaa.org/people/9899
1948-49,Ferris Thomsen,D-I,-,,,,,,https://stats.ncaa.org/teams/220810,https://stats.ncaa.org/people/9907
1947-48,Ferris Thomsen,D-I,-,,,,,,https://stats.ncaa.org/teams/178476,https://stats.ncaa.org/people/9907
1946-47,Ferris Thomsen,D-I,-,2,7,,.222,,https://stats.ncaa.org/teams/336925,https://stats.ncaa.org/people/9907
1945-46,,,-,,,,,,https://stats.ncaa.org/teams/371165,
1944-45,,,-,,,,,,https://stats.ncaa.org/teams/408194,
1943-44,,,-,,,,,,https://stats.ncaa.org/teams/222470,
1942-43,,,-,,,,,,https://stats.ncaa.org/teams/336897,
1941-42,S. Arthur Middleton,D-I,-,3,5,0,.375,,https://stats.ncaa.org/teams/257555,https://stats.ncaa.org/people/9900
1940-41,S. Arthur Middleton,D-I,-,1,8,0,.111,,https://stats.ncaa.org/teams/179741,https://stats.ncaa.org/people/9900
1939-40,S. Arthur Middleton,D-I,-,2,6,0,.250,,https://stats.ncaa.org/teams/300090,https://stats.ncaa.org/people/9900
1938-39,S. Arthur Middleton,D-I,-,4,5,0,.444,,https://stats.ncaa.org/teams/179714,https://stats.ncaa.org/people/9900
1937-38,S. Arthur Middleton,D-I,-,3,6,0,.333,,https://stats.ncaa.org/teams/371140,https://stats.ncaa.org/people/9900
1936-37,S. Arthur Middleton,D-I,-,2,5,0,.286,,https://stats.ncaa.org/teams/179687,https://stats.ncaa.org/people/9900
1935-36,S. Arthur Middleton,D-I,-,2,4,0,.333,,https://stats.ncaa.org/teams/141300,https://stats.ncaa.org/people/9900
1934-35,S. Arthur Middleton,D-I,-,3,4,0,.429,,https://stats.ncaa.org/teams/257528,https://stats.ncaa.org/people/9900
1933-34,S. Arthur Middleton,D-I,-,0,6,0,.000,,https://stats.ncaa.org/teams/300063,https://stats.ncaa.org/people/9900
1932-33,S. Arthur Middleton,,-,,,,,,https://stats.ncaa.org/teams/371113,https://stats.ncaa.org/people/9900
1931-32,S. Arthur Middleton,,-,,,,,,https://stats.ncaa.org/teams/336871,https://stats.ncaa.org/people/9900
1930-31,S. Arthur Middleton,D-I,-,7,3,,.700,,https://stats.ncaa.org/teams/257503,https://stats.ncaa.org/people/9900
1929-30,S. Arthur Middleton,D-I,-,3,4,1,.438,,https://stats.ncaa.org/teams/408170,https://stats.ncaa.org/people/9900
1928-29,S. Arthur Middleton,D-I,-,6,4,0,.600,,https://stats.ncaa.org/teams/408145,https://stats.ncaa.org/people/9900
1927-28,S. Arthur Middleton,D-I,-,3,6,1,.350,,https://stats.ncaa.org/teams/371089,https://stats.ncaa.org/people/9900
1926-27,W.H. Fries,D-I,-,6,5,0,.545,,https://stats.ncaa.org/teams/222448,https://stats.ncaa.org/people/9901
1925-26,W.H. Fries,D-I,-,1,9,0,.100,,https://stats.ncaa.org/teams/257481,https://stats.ncaa.org/people/9901
1924-25,W.H. Fries,D-I,-,3,7,0,.300,,https://stats.ncaa.org/teams/300112,https://stats.ncaa.org/people/9901
1923-24,Edward J. Powers,D-I,-,0,5,0,.000,,https://stats.ncaa.org/teams/141322,https://stats.ncaa.org/people/9902
1922-23,Coddy Winters,,-,,,,,,https://stats.ncaa.org/teams/336962,https://stats.ncaa.org/people/9903
1921-22,Coddy Winters,,-,,,,,,https://stats.ncaa.org/teams/179761,https://stats.ncaa.org/people/9903
1920-21,Clarence Goldsmith,,-,,,,,,https://stats.ncaa.org/teams/336947,https://stats.ncaa.org/people/9904
1919-20,Clarence Goldsmith,,-,,,,,,https://stats.ncaa.org/teams/300138,https://stats.ncaa.org/people/9904
1918-19,Clarence Goldsmith,,-,,,,,,https://stats.ncaa.org/teams/371224,https://stats.ncaa.org/people/9904
1917-18,Clarence Goldsmith,,-,,,,,,https://stats.ncaa.org/teams/336996,https://stats.ncaa.org/people/9904
1916-17,Clarence Goldsmith,,-,,,,,,https://stats.ncaa.org/teams/222513,https://stats.ncaa.org/people/9904
1915-16,H.F. Price,,-,,,,,,https://stats.ncaa.org/teams/336984,https://stats.ncaa.org/people/9905
1914-15,H.F. Price,,-,,,,,,https://stats.ncaa.org/teams/408248,https://stats.ncaa.org/people/9905
1913-14,Charles E. Chapin,,-,,,,,,https://stats.ncaa.org/teams/300128,https://stats.ncaa.org/people/9906
1912-13,Charles E. Chapin,,-,,,,,,https://stats.ncaa.org/teams/222503,https://stats.ncaa.org/people/9906
