Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Pat Gress,D-III,Centennial,14,2,0,.875,,https://stats.ncaa.org/teams/571542,https://stats.ncaa.org/people/9649
2022-23,Pat Gress,D-III,Centennial,14,4,0,.778,,https://stats.ncaa.org/teams/547032,https://stats.ncaa.org/people/9649
2021-22,Pat Gress,D-III,Centennial,9,7,0,.563,,https://stats.ncaa.org/teams/530240,https://stats.ncaa.org/people/9649
2020-21,Pat Gress,D-III,Centennial,0,0,0,.000,,https://stats.ncaa.org/teams/508031,https://stats.ncaa.org/people/9649
2019-20,Pat Gress,D-III,Centennial,4,2,0,.667,,https://stats.ncaa.org/teams/494047,https://stats.ncaa.org/people/9649
2018-19,Pat Gress,D-III,Centennial,9,6,0,.600,,https://stats.ncaa.org/teams/473591,https://stats.ncaa.org/people/9649
2017-18,Pat Gress,D-III,Centennial,8,6,,.571,,https://stats.ncaa.org/teams/423865,https://stats.ncaa.org/people/9649
2016-17,Pat Gress,D-III,Centennial,10,6,0,.625,,https://stats.ncaa.org/teams/110776,https://stats.ncaa.org/people/9649
2015-16,Pat Gress,D-III,Centennial,12,6,0,.667,,https://stats.ncaa.org/teams/24193,https://stats.ncaa.org/people/9649
2014-15,Pat Gress,D-III,Centennial,7,8,0,.467,,https://stats.ncaa.org/teams/106182,https://stats.ncaa.org/people/9649
2013-14,Pat Gress,D-III,Centennial,5,10,0,.333,,https://stats.ncaa.org/teams/103745,https://stats.ncaa.org/people/9649
2012-13,Pat Gress,D-III,Centennial,4,11,0,.267,,https://stats.ncaa.org/teams/35394,https://stats.ncaa.org/people/9649
2011-12,Pat Gress,D-III,Centennial,5,10,0,.333,,https://stats.ncaa.org/teams/56923,https://stats.ncaa.org/people/9649
2010-11,Pat Gress,D-III,Centennial,4,11,0,.267,,https://stats.ncaa.org/teams/29599,https://stats.ncaa.org/people/9649
2009-10,Pat Gress,D-III,Centennial,4,9,0,.308,,https://stats.ncaa.org/teams/53435,https://stats.ncaa.org/people/9649
2008-09,Pat Gress,D-III,Centennial,6,8,0,.429,,https://stats.ncaa.org/teams/95558,https://stats.ncaa.org/people/9649
2007-08,Pat Gress,D-III,Centennial,9,8,0,.529,,https://stats.ncaa.org/teams/408038,https://stats.ncaa.org/people/9649
2006-07,Pat Gress,D-III,Centennial,5,7,0,.417,,https://stats.ncaa.org/teams/178970,https://stats.ncaa.org/people/9649
2005-06,Pat Gress,D-III,Centennial,4,10,0,.286,,https://stats.ncaa.org/teams/222364,https://stats.ncaa.org/people/9649
2004-05,Pat Gress,D-III,Centennial,6,8,0,.429,,https://stats.ncaa.org/teams/222146,https://stats.ncaa.org/people/9649
2003-04,Pat Gress,D-III,Centennial,6,9,,.400,,https://stats.ncaa.org/teams/179609,https://stats.ncaa.org/people/9649
2002-03,Pat Gress,D-III,Centennial,8,7,0,.533,,https://stats.ncaa.org/teams/179401,https://stats.ncaa.org/people/9649
2001-02,Pat Gress,D-III,Centennial,6,8,0,.429,,https://stats.ncaa.org/teams/179199,https://stats.ncaa.org/people/9649
2000-01,Pat Gress,D-III,-,3,10,0,.231,,https://stats.ncaa.org/teams/141237,https://stats.ncaa.org/people/9649
1999-00,Pat Gress,D-III,-,8,6,0,.571,,https://stats.ncaa.org/teams/141056,https://stats.ncaa.org/people/9649
1998-99,Pat Gress,D-III,-,2,12,0,.143,,https://stats.ncaa.org/teams/221951,https://stats.ncaa.org/people/9649
1997-98,Pat Gress,D-III,-,3,12,0,.200,,https://stats.ncaa.org/teams/221786,https://stats.ncaa.org/people/9649
1996-97,Pat Gress,D-III,-,0,13,0,.000,,https://stats.ncaa.org/teams/371030,https://stats.ncaa.org/people/9649
