Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Michael Sullinger,D-III,MAC Commonwealth,4,12,0,.250,,https://stats.ncaa.org/teams/571580,https://stats.ncaa.org/people/2592458
2022-23,Michael Sullinger,D-III,MAC Commonwealth,4,12,0,.250,,https://stats.ncaa.org/teams/547070,https://stats.ncaa.org/people/2592458
2021-22,Michael Sullinger,D-III,MAC Commonwealth,1,15,0,.063,,https://stats.ncaa.org/teams/530279,https://stats.ncaa.org/people/2592458
2020-21,Carl Haas,D-III,MAC Commonwealth,0,1,0,.000,Did not meet minimum number of contests played to be included in national statistical rankings,https://stats.ncaa.org/teams/508070,https://stats.ncaa.org/people/38283
2019-20,Carl Haas,D-III,MAC Commonwealth,2,3,0,.400,,https://stats.ncaa.org/teams/494087,https://stats.ncaa.org/people/38283
2018-19,Carl Haas,D-III,MAC Commonwealth,3,13,0,.188,,https://stats.ncaa.org/teams/473388,https://stats.ncaa.org/people/38283
2017-18,Ryan Sheaffer,D-III,MAC Commonwealth,2,14,,.125,,https://stats.ncaa.org/teams/423658,https://stats.ncaa.org/people/40035
2016-17,Ryan Sheaffer,D-III,MAC Commonwealth,3,13,0,.188,,https://stats.ncaa.org/teams/110806,https://stats.ncaa.org/people/40035
2015-16,Ryan Sheaffer,D-III,MAC Commonwealth,3,14,0,.176,,https://stats.ncaa.org/teams/24223,https://stats.ncaa.org/people/40035
2014-15,Ryan Sheaffer,D-III,MAC Commonwealth,3,13,0,.188,,https://stats.ncaa.org/teams/106211,https://stats.ncaa.org/people/40035
2013-14,Ryan Sheaffer,D-III,MAC Commonwealth,2,15,0,.118,,https://stats.ncaa.org/teams/103772,https://stats.ncaa.org/people/40035
2012-13,Ryan Sheaffer,D-III,MAC Commonwealth,5,12,0,.294,,https://stats.ncaa.org/teams/35421,https://stats.ncaa.org/people/40035
2011-12,Ryan Sheaffer,D-III,Middle Atlantic,5,11,0,.313,,https://stats.ncaa.org/teams/56950,https://stats.ncaa.org/people/40035
2010-11,Richard Carrington,D-III,Middle Atlantic,2,14,0,.125,,https://stats.ncaa.org/teams/29626,https://stats.ncaa.org/people/37650
2009-10,Kevin Meany,D-III,Middle Atlantic,4,13,0,.235,,https://stats.ncaa.org/teams/53461,https://stats.ncaa.org/people/24928
2008-09,Kevin Meany,D-III,Middle Atlantic,2,13,0,.133,,https://stats.ncaa.org/teams/95584,https://stats.ncaa.org/people/24928
2007-08,Kevin Meany,D-III,CSAC,1,14,0,.067,,https://stats.ncaa.org/teams/408075,https://stats.ncaa.org/people/24928
2006-07,Kevin Meany,D-III,CSAC,5,10,0,.333,,https://stats.ncaa.org/teams/179006,https://stats.ncaa.org/people/24928
2005-06,Kevin Meany,D-III,CSAC,2,15,0,.118,,https://stats.ncaa.org/teams/222400,https://stats.ncaa.org/people/24928
2004-05,Kevin Meany,D-III,CSAC,2,11,0,.154,,https://stats.ncaa.org/teams/222182,https://stats.ncaa.org/people/24928
2003-04,Kevin Meany,D-III,-,0,12,0,.000,,https://stats.ncaa.org/teams/179646,https://stats.ncaa.org/people/24928
2002-03,Dave Cronce,D-III,-,0,7,0,.000,,https://stats.ncaa.org/teams/179436,https://stats.ncaa.org/people/24927
