Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Keith Bugbee,D-III,NEWMAC,7,10,0,.412,,https://stats.ncaa.org/teams/571538,https://stats.ncaa.org/people/6388
2022-23,Keith Bugbee,D-III,NEWMAC,6,10,0,.375,,https://stats.ncaa.org/teams/547028,https://stats.ncaa.org/people/6388
2021-22,Keith Bugbee,D-III,NEWMAC,8,9,0,.471,,https://stats.ncaa.org/teams/530236,https://stats.ncaa.org/people/6388
2020-21,Keith Bugbee,D-III,NEWMAC,0,3,0,.000,Did not meet minimum number of contests played to be included in national statistical rankings,https://stats.ncaa.org/teams/508027,https://stats.ncaa.org/people/6388
2019-20,Keith Bugbee,D-III,NEWMAC,0,4,0,.000,,https://stats.ncaa.org/teams/494043,https://stats.ncaa.org/people/6388
2018-19,Keith Bugbee,D-III,NEWMAC,11,10,0,.524,,https://stats.ncaa.org/teams/473587,https://stats.ncaa.org/people/6388
2017-18,Keith Bugbee,D-III,NEWMAC,13,6,,.684,,https://stats.ncaa.org/teams/423861,https://stats.ncaa.org/people/6388
2016-17,Keith Bugbee,D-III,NEWMAC Lacrosse,12,5,0,.706,,https://stats.ncaa.org/teams/110772,https://stats.ncaa.org/people/6388
2015-16,Keith Bugbee,D-III,NEWMAC Lacrosse,12,8,0,.600,,https://stats.ncaa.org/teams/24189,https://stats.ncaa.org/people/6388
2014-15,Keith Bugbee,D-III,NEWMAC Lacrosse,11,8,0,.579,,https://stats.ncaa.org/teams/106178,https://stats.ncaa.org/people/6388
2013-14,Keith Bugbee,D-III,NEWMAC Lacrosse,15,4,0,.789,,https://stats.ncaa.org/teams/103741,https://stats.ncaa.org/people/6388
2012-13,Keith Bugbee,D-III,NEWMAC Lacrosse,10,8,0,.556,,https://stats.ncaa.org/teams/35390,https://stats.ncaa.org/people/6388
2011-12,Keith Bugbee,D-III,NEWMAC Lacrosse,14,4,0,.778,,https://stats.ncaa.org/teams/56919,https://stats.ncaa.org/people/6388
2010-11,Keith Bugbee,D-III,NEWMAC Lacrosse,11,6,0,.647,,https://stats.ncaa.org/teams/29595,https://stats.ncaa.org/people/6388
2009-10,Keith Bugbee,D-III,NEWMAC Lacrosse,13,6,0,.684,,https://stats.ncaa.org/teams/53431,https://stats.ncaa.org/people/6388
2008-09,Keith Bugbee,D-III,NEWMAC Lacrosse,12,7,0,.632,,https://stats.ncaa.org/teams/95554,https://stats.ncaa.org/people/6388
2007-08,Keith Bugbee,D-III,NEWMAC Lacrosse,11,7,0,.611,,https://stats.ncaa.org/teams/408033,https://stats.ncaa.org/people/6388
2006-07,Keith Bugbee,D-III,NEWMAC Lacrosse,8,9,0,.471,,https://stats.ncaa.org/teams/178965,https://stats.ncaa.org/people/6388
2005-06,Keith Bugbee,D-III,NEWMAC Lacrosse,13,5,0,.722,,https://stats.ncaa.org/teams/222359,https://stats.ncaa.org/people/6388
2004-05,Keith Bugbee,D-III,NEWMAC Lacrosse,12,5,0,.706,,https://stats.ncaa.org/teams/222141,https://stats.ncaa.org/people/6388
2003-04,Keith Bugbee,D-III,NEWMAC Lacrosse,13,4,,.765,,https://stats.ncaa.org/teams/179604,https://stats.ncaa.org/people/6388
2002-03,Keith Bugbee,D-III,NEWMAC Lacrosse,11,5,0,.688,,https://stats.ncaa.org/teams/179396,https://stats.ncaa.org/people/6388
2001-02,Keith Bugbee,D-III,NEWMAC Lacrosse,13,6,0,.684,,https://stats.ncaa.org/teams/179194,https://stats.ncaa.org/people/6388
2000-01,Keith Bugbee,D-III,-,16,2,0,.889,,https://stats.ncaa.org/teams/141232,https://stats.ncaa.org/people/6388
1999-00,Keith Bugbee,D-III,-,10,7,0,.588,,https://stats.ncaa.org/teams/141051,https://stats.ncaa.org/people/6388
1998-99,Keith Bugbee,D-III,-,11,5,0,.688,,https://stats.ncaa.org/teams/221947,https://stats.ncaa.org/people/6388
1997-98,Keith Bugbee,D-III,-,12,4,0,.750,,https://stats.ncaa.org/teams/221782,https://stats.ncaa.org/people/6388
1996-97,Keith Bugbee,D-III,-,7,7,0,.500,,https://stats.ncaa.org/teams/371026,https://stats.ncaa.org/people/6388
1995-96,Keith Bugbee,D-III,-,5,8,0,.385,,https://stats.ncaa.org/teams/336817,https://stats.ncaa.org/people/6388
1994-95,Keith Bugbee,D-II,-,13,1,0,.929,,https://stats.ncaa.org/teams/221628,https://stats.ncaa.org/people/6388
1993-94,Keith Bugbee,D-II,-,12,2,0,.857,,https://stats.ncaa.org/teams/221488,https://stats.ncaa.org/people/6388
1992-93,Keith Bugbee,D-II,-,12,4,0,.750,,https://stats.ncaa.org/teams/221348,https://stats.ncaa.org/people/6388
1991-92,Keith Bugbee,D-II,-,5,4,0,.556,,https://stats.ncaa.org/teams/300017,https://stats.ncaa.org/people/6388
1990-91,Keith Bugbee,D-II,-,9,8,0,.529,,https://stats.ncaa.org/teams/407845,https://stats.ncaa.org/people/6388
1989-90,Keith Bugbee,D-II,-,12,3,0,.800,,https://stats.ncaa.org/teams/178783,https://stats.ncaa.org/people/6388
1988-89,Keith Bugbee,D-II,-,14,2,0,.875,,https://stats.ncaa.org/teams/140895,https://stats.ncaa.org/people/6388
1987-88,Keith Bugbee,D-II,-,8,7,0,.533,,https://stats.ncaa.org/teams/370884,https://stats.ncaa.org/people/6388
1986-87,Keith Bugbee,D-II,-,8,6,0,.571,,https://stats.ncaa.org/teams/370768,https://stats.ncaa.org/people/6388
1985-86,Keith Bugbee,D-II,-,12,2,0,.857,,https://stats.ncaa.org/teams/370656,https://stats.ncaa.org/people/6388
1984-85,Keith Bugbee,D-II,-,10,4,0,.714,,https://stats.ncaa.org/teams/336685,https://stats.ncaa.org/people/6388
1983-84,Keith Bugbee,D-II,-,10,5,0,.667,,https://stats.ncaa.org/teams/336576,https://stats.ncaa.org/people/6388
1982-83,Larry Giusti,D-II,-,9,5,0,.643,,https://stats.ncaa.org/teams/140780,https://stats.ncaa.org/people/9475
1981-82,Larry Giusti,D-II,-,10,3,0,.769,,https://stats.ncaa.org/teams/370547,https://stats.ncaa.org/people/9475
1980-81,Russ Mooney,D-II,-,8,6,0,.571,,https://stats.ncaa.org/teams/221220,https://stats.ncaa.org/people/9476
1979-80,Dennis Kayser,D-II,-,2,9,0,.182,,https://stats.ncaa.org/teams/407729,https://stats.ncaa.org/people/9477
1978-79,Dennis Kayser,D-II,-,2,9,0,.182,,https://stats.ncaa.org/teams/257441,https://stats.ncaa.org/people/9477
1977-78,Jim Anderson,D-II,-,2,10,0,.167,,https://stats.ncaa.org/teams/336476,https://stats.ncaa.org/people/8875
1976-77,Jim Anderson,D-II,-,3,8,0,.273,,https://stats.ncaa.org/teams/178673,https://stats.ncaa.org/people/8875
1975-76,Jim Anderson,D-II,-,4,10,0,.286,,https://stats.ncaa.org/teams/370453,https://stats.ncaa.org/people/8875
1974-75,Jim Anderson,D-II,-,4,11,0,.267,,https://stats.ncaa.org/teams/407637,https://stats.ncaa.org/people/8875
1973-74,Jim Anderson,D-II,-,9,6,0,.600,,https://stats.ncaa.org/teams/257353,https://stats.ncaa.org/people/8875
1972-73,Jim Anderson,D-II,-,13,3,0,.813,,https://stats.ncaa.org/teams/221126,https://stats.ncaa.org/people/8875
1971-72,Jim Anderson,D-II,-,8,4,0,.667,,https://stats.ncaa.org/teams/370365,https://stats.ncaa.org/people/8875
1970-71,Jim Anderson,D-II,-,7,5,0,.583,,https://stats.ncaa.org/teams/336389,https://stats.ncaa.org/people/8875
1969-70,,D-II,-,,,,,,https://stats.ncaa.org/teams/178588,
1968-69,,D-II,-,,,,,,https://stats.ncaa.org/teams/336317,
1967-68,,D-II,-,,,,,,https://stats.ncaa.org/teams/336250,
1966-67,,D-II,-,,,,,,https://stats.ncaa.org/teams/221050,
1965-66,,D-II,-,,,,,,https://stats.ncaa.org/teams/299905,
1964-65,,D-II,-,,,,,,https://stats.ncaa.org/teams/336187,
1963-64,,D-II,-,,,,,,https://stats.ncaa.org/teams/299848,
1962-63,,D-II,-,,,,,,https://stats.ncaa.org/teams/407557,
1961-62,,D-II,-,,,,,,https://stats.ncaa.org/teams/220990,
1960-61,,D-II,-,,,,,,https://stats.ncaa.org/teams/140689,
1959-60,,D-II,-,,,,,,https://stats.ncaa.org/teams/299795,
1958-59,,D-II,-,,,,,,https://stats.ncaa.org/teams/220941,
1957-58,,D-II,-,,,,,,https://stats.ncaa.org/teams/299747,
1956-57,,D-II,-,,,,,,https://stats.ncaa.org/teams/407509,
1955-56,,D-II,-,,,,,,https://stats.ncaa.org/teams/178522,
1954-55,,D-II,-,,,,,,https://stats.ncaa.org/teams/220895,
1953-54,,D-II,-,,,,,,https://stats.ncaa.org/teams/257279,
1952-53,,D-II,-,,,,,,https://stats.ncaa.org/teams/336135,
1951-52,,D-II,-,,,,,,https://stats.ncaa.org/teams/220853,
1950-51,Vern Cox,D-II,-,4,4,0,.500,,https://stats.ncaa.org/teams/257237,https://stats.ncaa.org/people/9478
1949-50,Vern Cox,D-II,-,4,3,1,.563,,https://stats.ncaa.org/teams/140641,https://stats.ncaa.org/people/9478
1948-49,Vern Cox,D-II,-,4,4,0,.500,,https://stats.ncaa.org/teams/220814,https://stats.ncaa.org/people/9478
1947-48,Vern Cox,D-II,-,0,8,0,.000,,https://stats.ncaa.org/teams/178480,https://stats.ncaa.org/people/9478
1946-47,,D-II,-,,,,,,https://stats.ncaa.org/teams/336929,
1945-46,,D-II,-,,,,,,https://stats.ncaa.org/teams/371169,
1944-45,,D-II,-,,,,,,https://stats.ncaa.org/teams/408198,
1943-44,,D-II,-,,,,,,https://stats.ncaa.org/teams/222473,
1942-43,Grant Koch,D-II,-,3,4,0,.429,,https://stats.ncaa.org/teams/336900,https://stats.ncaa.org/people/9479
1941-42,,D-II,-,4,3,0,.571,,https://stats.ncaa.org/teams/257558,
1940-41,B. Monroe,D-II,-,4,5,0,.444,,https://stats.ncaa.org/teams/179744,https://stats.ncaa.org/people/9480
