Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Michael Fahey,D-III,NACC,13,6,0,.684,,https://stats.ncaa.org/teams/571583,https://stats.ncaa.org/people/43783
2022-23,Michael Fahey,D-III,NACC,11,6,0,.647,,https://stats.ncaa.org/teams/547073,https://stats.ncaa.org/people/43783
2021-22,Michael Fahey,D-III,NACC,10,7,0,.588,,https://stats.ncaa.org/teams/530283,https://stats.ncaa.org/people/43783
2020-21,Michael Fahey,D-III,Midwest Lacrosse Conference,5,7,0,.417,,https://stats.ncaa.org/teams/508074,https://stats.ncaa.org/people/43783
2019-20,Michael Fahey,D-III,Midwest Lacrosse Conference,4,2,0,.667,,https://stats.ncaa.org/teams/494091,https://stats.ncaa.org/people/43783
2018-19,Michael Fahey,D-III,Midwest Lacrosse Conference,15,4,0,.789,,https://stats.ncaa.org/teams/473392,https://stats.ncaa.org/people/43783
2017-18,Michael Fahey,D-III,Midwest Lacrosse Conference,13,6,,.684,,https://stats.ncaa.org/teams/423662,https://stats.ncaa.org/people/43783
2016-17,Michael Fahey,D-III,Midwest Lacrosse Conference,13,6,0,.684,,https://stats.ncaa.org/teams/110810,https://stats.ncaa.org/people/43783
2015-16,Michael Fahey,D-III,Midwest Lacrosse Conference,12,5,0,.706,,https://stats.ncaa.org/teams/24227,https://stats.ncaa.org/people/43783
2014-15,Michael Fahey,D-III,Midwest Lacrosse Conference,10,7,0,.588,,https://stats.ncaa.org/teams/106215,https://stats.ncaa.org/people/43783
2013-14,Michael Fahey,D-III,Midwest Lacrosse Conference,14,4,0,.778,,https://stats.ncaa.org/teams/103776,https://stats.ncaa.org/people/43783
2012-13,Jeff Roberts,D-III,Midwest Lacrosse Conference,9,7,0,.563,,https://stats.ncaa.org/teams/35424,https://stats.ncaa.org/people/38406
2011-12,Jeff Roberts,D-III,Midwest Lacrosse Conference,9,7,0,.563,,https://stats.ncaa.org/teams/56952,https://stats.ncaa.org/people/38406
2010-11,Jeff Roberts,D-III,Midwest Lacrosse Conference,8,6,0,.571,Inaugural Varsity Season,https://stats.ncaa.org/teams/29628,https://stats.ncaa.org/people/38406
