Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Kyle McGuire,D-III,Landmark,11,7,0,.611,,https://stats.ncaa.org/teams/571742,https://stats.ncaa.org/people/2530516
2022-23,Kyle McGuire,D-III,Landmark,12,5,0,.706,,https://stats.ncaa.org/teams/547234,https://stats.ncaa.org/people/2530516
2021-22,Kyle McGuire,D-III,Landmark,11,7,0,.611,,https://stats.ncaa.org/teams/530388,https://stats.ncaa.org/people/2530516
2020-21,Kyle McGuire,D-III,Landmark,6,3,0,.667,,https://stats.ncaa.org/teams/508181,https://stats.ncaa.org/people/2530516
2019-20,Chris Perzinski,D-III,Landmark,3,3,0,.500,,https://stats.ncaa.org/teams/494195,https://stats.ncaa.org/people/46015
2018-19,Chris Perzinski,D-III,Landmark,11,8,0,.579,,https://stats.ncaa.org/teams/473499,https://stats.ncaa.org/people/46015
2017-18,Chris Perzinski,D-III,Landmark,10,10,,.500,,https://stats.ncaa.org/teams/423771,https://stats.ncaa.org/people/46015
2016-17,Chris Perzinski,D-III,Landmark,14,4,0,.778,,https://stats.ncaa.org/teams/110682,https://stats.ncaa.org/people/46015
2015-16,Andrew Delaney,D-III,Landmark,12,6,0,.667,,https://stats.ncaa.org/teams/24102,https://stats.ncaa.org/people/42499
2014-15,Andrew Delaney,D-III,Landmark,14,3,0,.824,,https://stats.ncaa.org/teams/106094,https://stats.ncaa.org/people/42499
2013-14,Andrew Delaney,D-III,MAC Commonwealth,7,8,0,.467,,https://stats.ncaa.org/teams/103658,https://stats.ncaa.org/people/42499
2012-13,Terry Corcoran,D-III,MAC Commonwealth,8,6,0,.571,,https://stats.ncaa.org/teams/35310,https://stats.ncaa.org/people/8016
2011-12,Terry Corcoran,D-III,Middle Atlantic,7,8,0,.467,,https://stats.ncaa.org/teams/56845,https://stats.ncaa.org/people/8016
2010-11,Terry Corcoran,D-III,Middle Atlantic,9,7,0,.563,,https://stats.ncaa.org/teams/29518,https://stats.ncaa.org/people/8016
2009-10,Terry Corcoran,D-III,Middle Atlantic,12,4,0,.750,,https://stats.ncaa.org/teams/53357,https://stats.ncaa.org/people/8016
2008-09,Terry Corcoran,D-III,Middle Atlantic,12,4,0,.750,,https://stats.ncaa.org/teams/95484,https://stats.ncaa.org/people/8016
2007-08,Terry Corcoran,D-III,Middle Atlantic,6,8,0,.429,,https://stats.ncaa.org/teams/407922,https://stats.ncaa.org/people/8016
2006-07,Terry Corcoran,D-III,Middle Atlantic,10,5,0,.667,,https://stats.ncaa.org/teams/178859,https://stats.ncaa.org/people/8016
2005-06,Terry Corcoran,D-III,Middle Atlantic,7,10,0,.412,,https://stats.ncaa.org/teams/222254,https://stats.ncaa.org/people/8016
2004-05,Chuck Maloy,D-III,Middle Atlantic,9,8,0,.529,,https://stats.ncaa.org/teams/222037,https://stats.ncaa.org/people/4902
2003-04,Chuck Maloy,D-III,Middle Atlantic,9,5,,.643,,https://stats.ncaa.org/teams/179504,https://stats.ncaa.org/people/4902
2002-03,Chuck Maloy,D-III,Middle Atlantic,7,7,0,.500,,https://stats.ncaa.org/teams/179299,https://stats.ncaa.org/people/4902
2001-02,Chuck Maloy,D-III,Middle Atlantic,5,9,0,.357,,https://stats.ncaa.org/teams/179097,https://stats.ncaa.org/people/4902
