Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Jason Tarnow,D-III,NESCAC,9,7,0,.563,,https://stats.ncaa.org/teams/571544,https://stats.ncaa.org/people/5798
2022-23,Jason Tarnow,D-III,NESCAC,8,8,0,.500,,https://stats.ncaa.org/teams/547034,https://stats.ncaa.org/people/5798
2021-22,Jason Tarnow,D-III,NESCAC,6,8,0,.429,,https://stats.ncaa.org/teams/530242,https://stats.ncaa.org/people/5798
2020-21,Jason Tarnow,D-III,NESCAC,3,3,0,.500,,https://stats.ncaa.org/teams/508033,https://stats.ncaa.org/people/5798
2019-20,Jason Tarnow,D-III,NESCAC,3,1,0,.750,,https://stats.ncaa.org/teams/494049,https://stats.ncaa.org/people/5798
2018-19,Jason Tarnow,D-III,NESCAC,8,8,0,.500,,https://stats.ncaa.org/teams/473593,https://stats.ncaa.org/people/5798
2017-18,Jason Tarnow,D-III,NESCAC,4,10,,.286,,https://stats.ncaa.org/teams/423867,https://stats.ncaa.org/people/5798
2016-17,Michael Higgins,D-III,NESCAC,5,10,0,.333,,https://stats.ncaa.org/teams/110778,https://stats.ncaa.org/people/38726
2015-16,Michael Higgins,D-III,NESCAC,5,10,0,.333,,https://stats.ncaa.org/teams/24195,https://stats.ncaa.org/people/38726
2014-15,Michael Higgins,D-III,NESCAC,4,11,0,.267,,https://stats.ncaa.org/teams/106184,https://stats.ncaa.org/people/38726
2013-14,Michael Higgins,D-III,NESCAC,4,11,0,.267,,https://stats.ncaa.org/teams/103747,https://stats.ncaa.org/people/38726
2012-13,Michael Higgins,D-III,NESCAC,5,10,0,.333,,https://stats.ncaa.org/teams/35396,https://stats.ncaa.org/people/38726
2011-12,Michael Higgins,D-III,NESCAC,11,7,0,.611,,https://stats.ncaa.org/teams/56925,https://stats.ncaa.org/people/38726
2010-11,Michael Higgins,D-III,NESCAC,12,4,0,.750,,https://stats.ncaa.org/teams/29601,https://stats.ncaa.org/people/38726
2009-10,James Finlay,D-III,NESCAC,9,7,0,.563,,https://stats.ncaa.org/teams/53436,https://stats.ncaa.org/people/30934
2008-09,James Finlay,D-III,NESCAC,10,6,0,.625,,https://stats.ncaa.org/teams/95559,https://stats.ncaa.org/people/30934
2007-08,James Finlay,D-III,NESCAC,6,9,0,.400,,https://stats.ncaa.org/teams/408041,https://stats.ncaa.org/people/30934
2006-07,James Finlay,D-III,NESCAC,9,6,0,.600,,https://stats.ncaa.org/teams/178973,https://stats.ncaa.org/people/30934
2005-06,James Finlay,D-III,NESCAC,6,7,0,.462,,https://stats.ncaa.org/teams/222367,https://stats.ncaa.org/people/30934
