Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Jacob Ranttila,D-III,North Atlantic,0,0,0,.000,,https://stats.ncaa.org/teams/571692,https://stats.ncaa.org/people/2975414
2022-23,Doug Steele,D-III,North Atlantic,1,8,0,.111,,https://stats.ncaa.org/teams/547184,https://stats.ncaa.org/people/2820310
2021-22,Courtney Novak,D-III,North Atlantic,1,10,0,.091,,https://stats.ncaa.org/teams/530336,https://stats.ncaa.org/people/2514490
2020-21,Courtney Novak,D-III,North Atlantic,0,5,0,.000,,https://stats.ncaa.org/teams/508129,https://stats.ncaa.org/people/2514490
2019-20,Hilmar Smith,D-III,North Atlantic,0,2,0,.000,,https://stats.ncaa.org/teams/494143,https://stats.ncaa.org/people/2298478
2018-19,Brandon Melville,D-III,North Atlantic,4,8,0,.333,,https://stats.ncaa.org/teams/473447,https://stats.ncaa.org/people/2120041
2017-18,Kevin Pezanowski,D-III,North Atlantic,7,9,,.438,,https://stats.ncaa.org/teams/423719,https://stats.ncaa.org/people/6492
2016-17,Kevin Pezanowski,D-III,North Atlantic,0,7,0,.000,Vacated 10 wins,https://stats.ncaa.org/teams/110867,https://stats.ncaa.org/people/6492
2015-16,Kevin Pezanowski,D-III,North Atlantic,0,9,0,.000,Vacated 7 wins,https://stats.ncaa.org/teams/24279,https://stats.ncaa.org/people/6492
2014-15,Kevin Pezanowski,D-III,North Atlantic,0,8,0,.000,Vacated 4 wins,https://stats.ncaa.org/teams/106265,https://stats.ncaa.org/people/6492
2013-14,Richard Aberle,D-III,North Atlantic,2,13,0,.133,,https://stats.ncaa.org/teams/103826,https://stats.ncaa.org/people/41477
2012-13,Richard Aberle,D-III,North Atlantic,1,12,0,.077,,https://stats.ncaa.org/teams/35472,https://stats.ncaa.org/people/41477
2011-12,Tim Tierney,D-III,North Atlantic,3,8,0,.273,,https://stats.ncaa.org/teams/56997,https://stats.ncaa.org/people/38719
2010-11,Tim Tierney,D-III,North Atlantic,2,9,0,.182,,https://stats.ncaa.org/teams/29670,https://stats.ncaa.org/people/38719
2009-10,Tim Tierney,,North Atlantic,3,10,0,.231,,https://stats.ncaa.org/teams/257463,https://stats.ncaa.org/people/38719
2008-09,Tim Tierney,,-,4,9,,.308,,https://stats.ncaa.org/teams/371072,https://stats.ncaa.org/people/38719
2007-08,Tim Tierney,,-,1,11,,.083,,https://stats.ncaa.org/teams/408118,https://stats.ncaa.org/people/38719
