Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Jason Lange,D-II,Peach Belt,9,6,0,.600,,https://stats.ncaa.org/teams/571501,https://stats.ncaa.org/people/42523
2022-23,Jason Lange,D-II,Peach Belt,11,7,0,.611,,https://stats.ncaa.org/teams/546994,https://stats.ncaa.org/people/42523
2021-22,Jason Lange,D-II,Peach Belt,11,7,0,.611,,https://stats.ncaa.org/teams/530130,https://stats.ncaa.org/people/42523
2020-21,Jason Lange,D-II,Peach Belt,10,4,0,.714,,https://stats.ncaa.org/teams/507922,https://stats.ncaa.org/people/42523
2019-20,Jason Lange,D-II,GLVC,3,4,0,.429,,https://stats.ncaa.org/teams/493968,https://stats.ncaa.org/people/42523
2018-19,Jason Lange,D-II,GLVC,6,9,0,.400,,https://stats.ncaa.org/teams/473359,https://stats.ncaa.org/people/42523
2017-18,Jason Lange,D-II,GLVC,7,7,,.500,,https://stats.ncaa.org/teams/440381,https://stats.ncaa.org/people/42523
