Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Trevor Craven,D-III,Great Northeast,5,12,0,.294,,https://stats.ncaa.org/teams/571745,https://stats.ncaa.org/people/2003358
2022-23,Trevor Craven,D-III,Great Northeast,16,6,0,.727,,https://stats.ncaa.org/teams/547237,https://stats.ncaa.org/people/2003358
2021-22,Trevor Craven,D-III,Great Northeast,6,10,0,.375,,https://stats.ncaa.org/teams/530392,https://stats.ncaa.org/people/2003358
2020-21,Trevor Craven,D-III,Great Northeast,3,7,0,.300,,https://stats.ncaa.org/teams/508185,https://stats.ncaa.org/people/2003358
2019-20,Trevor Craven,D-III,Great Northeast,0,4,0,.000,,https://stats.ncaa.org/teams/494199,https://stats.ncaa.org/people/2003358
2018-19,Trevor Craven,D-III,Great Northeast,3,13,0,.188,,https://stats.ncaa.org/teams/473503,https://stats.ncaa.org/people/2003358
2017-18,Trevor Craven,D-III,Great Northeast,3,13,,.188,,https://stats.ncaa.org/teams/423775,https://stats.ncaa.org/people/2003358
2016-17,Brendan McWilliams,D-III,Great Northeast,7,10,0,.412,,https://stats.ncaa.org/teams/110686,https://stats.ncaa.org/people/24880
2015-16,Brendan McWilliams,D-III,Great Northeast,11,9,0,.550,,https://stats.ncaa.org/teams/24106,https://stats.ncaa.org/people/24880
2014-15,Brendan McWilliams,D-III,Great Northeast,13,5,0,.722,,https://stats.ncaa.org/teams/106098,https://stats.ncaa.org/people/24880
2013-14,Brendan McWilliams,D-III,Great Northeast,15,4,0,.789,,https://stats.ncaa.org/teams/103662,https://stats.ncaa.org/people/24880
2012-13,Brendan McWilliams,D-III,Great Northeast,7,10,0,.412,,https://stats.ncaa.org/teams/35314,https://stats.ncaa.org/people/24880
2011-12,Brendan McWilliams,D-III,Great Northeast,7,9,0,.438,Inaugural Varsity Season,https://stats.ncaa.org/teams/56848,https://stats.ncaa.org/people/24880
