Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Ryan Danehy,D-I,ASUN,4,10,0,.286,,https://stats.ncaa.org/teams/571414,https://stats.ncaa.org/people/2820322
2022-23,Ryan Danehy,D-I,ASUN,6,10,0,.375,,https://stats.ncaa.org/teams/546906,https://stats.ncaa.org/people/2820322
2021-22,Chad Surman,D-I,SoCon,5,10,0,.333,,https://stats.ncaa.org/teams/530058,https://stats.ncaa.org/people/2462312
2020-21,Chad Surman,D-I,SoCon,5,8,0,.385,,https://stats.ncaa.org/teams/507851,https://stats.ncaa.org/people/2462312
2019-20,Kyle Hannan,D-I,SoCon,6,1,0,.857,,https://stats.ncaa.org/teams/493870,https://stats.ncaa.org/people/6573
2018-19,Kyle Hannan,D-I,SoCon,1,12,0,.077,,https://stats.ncaa.org/teams/473262,https://stats.ncaa.org/people/6573
2017-18,Kyle Hannan,D-I,SoCon,4,10,,.286,,https://stats.ncaa.org/teams/423538,https://stats.ncaa.org/people/6573
2016-17,Kyle Hannan,D-I,SoCon,5,8,0,.385,,https://stats.ncaa.org/teams/110540,https://stats.ncaa.org/people/6573
2015-16,Kyle Hannan,D-I,SoCon,5,8,0,.385,,https://stats.ncaa.org/teams/23960,https://stats.ncaa.org/people/6573
2014-15,Kyle Hannan,D-I,SoCon,5,8,0,.385,,https://stats.ncaa.org/teams/105959,https://stats.ncaa.org/people/6573
2013-14,Kyle Hannan,D-I,ASUN,7,7,0,.500,,https://stats.ncaa.org/teams/103529,https://stats.ncaa.org/people/6573
2012-13,Kyle Hannan,D-I,-,4,8,0,.333,,https://stats.ncaa.org/teams/35192,https://stats.ncaa.org/people/6573
2011-12,Jason Childs,D-I,-,1,13,0,.071,,https://stats.ncaa.org/teams/56740,https://stats.ncaa.org/people/30931
2010-11,Jason Childs,D-I,Mercer,1,12,0,.077,First Season of Varsity Competition,https://stats.ncaa.org/teams/29416,https://stats.ncaa.org/people/30931
