Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Chris Lewis,D-II,Sunshine State,12,4,0,.750,,https://stats.ncaa.org/teams/571464,https://stats.ncaa.org/people/44961
2022-23,Chris Lewis,D-II,Sunshine State,15,2,0,.882,,https://stats.ncaa.org/teams/546955,https://stats.ncaa.org/people/44961
2021-22,Chris Lewis,D-II,Sunshine State,12,3,0,.800,,https://stats.ncaa.org/teams/530158,https://stats.ncaa.org/people/44961
2020-21,Chris Lewis,D-II,Sunshine State,7,3,0,.700,,https://stats.ncaa.org/teams/507950,https://stats.ncaa.org/people/44961
2019-20,Chris Lewis,D-II,Sunshine State,2,2,0,.500,,https://stats.ncaa.org/teams/493925,https://stats.ncaa.org/people/44961
2018-19,Chris Lewis,D-II,Sunshine State,10,5,0,.667,,https://stats.ncaa.org/teams/473316,https://stats.ncaa.org/people/44961
2017-18,Chris Lewis,D-II,Sunshine State,7,7,,.500,,https://stats.ncaa.org/teams/423593,https://stats.ncaa.org/people/44961
2016-17,Chris Lewis,D-II,Sunshine State,7,7,0,.500,,https://stats.ncaa.org/teams/110595,https://stats.ncaa.org/people/44961
2015-16,Chris Lewis,D-II,Sunshine State,10,6,0,.625,,https://stats.ncaa.org/teams/24014,https://stats.ncaa.org/people/44961
2014-15,Ralph Rossi (3-5)Chris Lewis (3-5),D-II,Sunshine State,6,10,0,.375,,https://stats.ncaa.org/teams/106010,https://stats.ncaa.org/people/38724
2013-14,Ralph Rossi,D-II,Sunshine State,6,9,0,.400,,https://stats.ncaa.org/teams/103579,https://stats.ncaa.org/people/38724
2012-13,Ralph Rossi,D-II,Deep South,3,14,0,.176,,https://stats.ncaa.org/teams/35239,https://stats.ncaa.org/people/38724
2011-12,Ralph Rossi,D-II,Deep South,3,12,0,.200,,https://stats.ncaa.org/teams/56786,https://stats.ncaa.org/people/38724
2010-11,Ralph Rossi,D-II,Deep South,2,11,0,.154,,https://stats.ncaa.org/teams/29462,https://stats.ncaa.org/people/38724
2009-10,Andrew Baxter,D-II,Deep South,3,9,0,.250,,https://stats.ncaa.org/teams/53309,https://stats.ncaa.org/people/33635
2008-09,Andrew Baxter,D-II,Deep South,2,8,0,.200,,https://stats.ncaa.org/teams/95440,https://stats.ncaa.org/people/33635
2007-08,Andrew Baxter,D-II,-,1,12,0,.077,Inaugural varsity season,https://stats.ncaa.org/teams/408010,https://stats.ncaa.org/people/33635
