Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2016-17,Jim Dock,D-III,North Atlantic,,,,.000,,https://stats.ncaa.org/teams/110716,https://stats.ncaa.org/people/43791
2015-16,Jim Dock,D-III,North Atlantic,0,12,0,.000,,https://stats.ncaa.org/teams/24135,https://stats.ncaa.org/people/43791
2014-15,Jim Dock,D-III,North Atlantic,0,14,0,.000,,https://stats.ncaa.org/teams/106126,https://stats.ncaa.org/people/43791
2013-14,Tom Sheridan,D-III,North Atlantic,4,7,0,.364,,https://stats.ncaa.org/teams/103690,https://stats.ncaa.org/people/8134
2012-13,Tom Sheridan,D-III,North Atlantic,4,7,0,.364,,https://stats.ncaa.org/teams/35340,https://stats.ncaa.org/people/8134
2011-12,Jon Evan,D-III,North Atlantic,2,11,0,.154,,https://stats.ncaa.org/teams/56871,https://stats.ncaa.org/people/39474
2010-11,Jon Hayes,D-III,North Atlantic,4,7,0,.364,,https://stats.ncaa.org/teams/29543,https://stats.ncaa.org/people/22323
2009-10,Christopher Parsons,D-III,North Atlantic,1,9,0,.100,Inaugural varsity season,https://stats.ncaa.org/teams/53380,https://stats.ncaa.org/people/23234
