Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Daniel Steigert,D-II,CACC,4,9,0,.308,,https://stats.ncaa.org/teams/571486,https://stats.ncaa.org/people/2110667
2022-23,Daniel Steigert,D-II,CACC,5,11,0,.313,,https://stats.ncaa.org/teams/546977,https://stats.ncaa.org/people/2110667
2021-22,Daniel Steigert,D-II,CACC,6,7,0,.462,,https://stats.ncaa.org/teams/530113,https://stats.ncaa.org/people/2110667
2020-21,Daniel Steigert,D-II,CACC,4,4,0,.500,,https://stats.ncaa.org/teams/507904,https://stats.ncaa.org/people/2110667
2019-20,Daniel Steigert,D-II,CACC,2,4,0,.333,,https://stats.ncaa.org/teams/493948,https://stats.ncaa.org/people/2110667
2018-19,Daniel Steigert,D-II,CACC,3,12,0,.200,,https://stats.ncaa.org/teams/473339,https://stats.ncaa.org/people/2110667
2017-18,Marcelo Sandoval,D-II,CACC,3,11,,.214,,https://stats.ncaa.org/teams/423616,https://stats.ncaa.org/people/44338
2016-17,Marcelo Sandoval,D-II,ECC,6,9,0,.400,,https://stats.ncaa.org/teams/110618,https://stats.ncaa.org/people/44338
2015-16,Marcelo Sandoval,D-II,ECC,3,12,0,.200,,https://stats.ncaa.org/teams/24037,https://stats.ncaa.org/people/44338
2014-15,Marcelo Sandoval,D-II,ECC,1,12,0,.077,,https://stats.ncaa.org/teams/106032,https://stats.ncaa.org/people/44338
2013-14,Bill Kurisko,D-II,ECC,1,13,0,.071,,https://stats.ncaa.org/teams/103599,https://stats.ncaa.org/people/40221
2012-13,Bill Kurisko,D-II,ECC,0,12,0,.000,,https://stats.ncaa.org/teams/35257,https://stats.ncaa.org/people/40221
2011-12,Bill Kurisko,D-II,ECC,1,13,0,.071,,https://stats.ncaa.org/teams/56802,https://stats.ncaa.org/people/40221
2010-11,Matthew Brancaccio,D-II,ECC,2,13,0,.133,,https://stats.ncaa.org/teams/29479,https://stats.ncaa.org/people/38715
2009-10,Manny Rapkin,D-II,ECC,6,10,0,.375,,https://stats.ncaa.org/teams/53324,https://stats.ncaa.org/people/36456
2008-09,Manny Rapkin,D-II,ECC,2,12,0,.143,,https://stats.ncaa.org/teams/95454,https://stats.ncaa.org/people/36456
2007-08,Nick Ballou,D-II,ECC,5,10,0,.333,,https://stats.ncaa.org/teams/408096,https://stats.ncaa.org/people/29780
2006-07,Nick Ballou,D-II,-,5,9,0,.357,,https://stats.ncaa.org/teams/179025,https://stats.ncaa.org/people/29780
2005-06,Nick Ballou,D-II,-,4,9,0,.308,,https://stats.ncaa.org/teams/222418,https://stats.ncaa.org/people/29780
2004-05,Dale Abeling,D-II,-,5,7,0,.417,,https://stats.ncaa.org/teams/222199,https://stats.ncaa.org/people/24877
2003-04,Dale Abeling,D-II,-,4,10,0,.286,,https://stats.ncaa.org/teams/179660,https://stats.ncaa.org/people/24877
2002-03,Bob Spaeth,D-II,-,4,4,0,.500,Inaugural varsity season,https://stats.ncaa.org/teams/179451,https://stats.ncaa.org/people/24794
