Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Mikey Thompson,D-III,CLC,14,5,0,.737,,https://stats.ncaa.org/teams/571725,https://stats.ncaa.org/people/45363
2022-23,Mikey Thompson,D-III,CLC,19,3,0,.864,,https://stats.ncaa.org/teams/547217,https://stats.ncaa.org/people/45363
2021-22,Mikey Thompson,D-III,C2C,18,2,0,.900,,https://stats.ncaa.org/teams/530371,https://stats.ncaa.org/people/45363
2020-21,Mikey Thompson,D-III,C2C,13,6,0,.684,,https://stats.ncaa.org/teams/508164,https://stats.ncaa.org/people/45363
2019-20,Mikey Thompson,D-III,C2C,5,1,0,.833,,https://stats.ncaa.org/teams/494178,https://stats.ncaa.org/people/45363
2018-19,Mikey Thompson,D-III,C2C,12,7,0,.632,,https://stats.ncaa.org/teams/473482,https://stats.ncaa.org/people/45363
2017-18,Mikey Thompson,D-III,C2C,15,5,,.750,,https://stats.ncaa.org/teams/423754,https://stats.ncaa.org/people/45363
2016-17,Mikey Thompson,D-III,C2C,11,6,0,.647,,https://stats.ncaa.org/teams/110665,https://stats.ncaa.org/people/45363
2015-16,Mikey Thompson,D-III,C2C,13,5,0,.722,,https://stats.ncaa.org/teams/24085,https://stats.ncaa.org/people/45363
2014-15,Todd Boward,D-III,C2C,11,5,0,.688,,https://stats.ncaa.org/teams/106078,https://stats.ncaa.org/people/38712
2013-14,Todd Boward,D-III,C2C,10,6,0,.625,,https://stats.ncaa.org/teams/103644,https://stats.ncaa.org/people/38712
2012-13,Todd Boward,D-III,-,8,9,0,.471,,https://stats.ncaa.org/teams/35297,https://stats.ncaa.org/people/38712
2011-12,Todd Boward,D-III,Division III Independents,6,9,0,.400,,https://stats.ncaa.org/teams/56833,https://stats.ncaa.org/people/38712
2010-11,Todd Boward,D-III,Chris. Newport,7,8,0,.467,,https://stats.ncaa.org/teams/29506,https://stats.ncaa.org/people/38712
2009-10,Chris Swanenburg (1-3)Todd Boward (2-6),D-III,Chris. Newport,7,9,0,.438,,https://stats.ncaa.org/teams/53345,https://stats.ncaa.org/people/26745
2008-09,Chris Swanenburg,D-III,Chris. Newport,8,7,0,.533,,https://stats.ncaa.org/teams/95472,https://stats.ncaa.org/people/26745
2007-08,Chris Swanenburg,D-III,-,8,7,0,.533,,https://stats.ncaa.org/teams/407903,https://stats.ncaa.org/people/26745
2006-07,Chris Swanenburg,D-III,-,4,9,0,.308,Inaugural Varsity Season,https://stats.ncaa.org/teams/178840,https://stats.ncaa.org/people/26745
