Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Lance Olson,D-II,Conference Carolinas,1,15,0,.063,,https://stats.ncaa.org/teams/571499,https://stats.ncaa.org/people/2956836
2022-23,Bert Severns,D-II,Conference Carolinas,2,13,0,.133,,https://stats.ncaa.org/teams/546992,https://stats.ncaa.org/people/35643
2021-22,Bert Severns,D-II,Conference Carolinas,2,12,0,.143,,https://stats.ncaa.org/teams/530128,https://stats.ncaa.org/people/35643
2020-21,Bert Severns,D-II,Conference Carolinas,4,8,0,.333,,https://stats.ncaa.org/teams/507920,https://stats.ncaa.org/people/35643
2019-20,Bert Severns,D-II,Conference Carolinas,3,6,0,.333,,https://stats.ncaa.org/teams/493966,https://stats.ncaa.org/people/35643
2018-19,Bert Severns,D-II,Conference Carolinas,4,12,0,.250,,https://stats.ncaa.org/teams/473357,https://stats.ncaa.org/people/35643
2017-18,Bert Severns,D-II,Conference Carolinas,,15,,.000,NCAA DII Provisional Member,https://stats.ncaa.org/teams/423635,https://stats.ncaa.org/people/35643
2016-17,Bert Severns,D-II,Conference Carolinas,1,12,0,.077,,https://stats.ncaa.org/teams/110637,https://stats.ncaa.org/people/35643
2015-16,Patrick Johnston,D-II,Conference Carolinas,1,14,0,.067,,https://stats.ncaa.org/teams/24056,https://stats.ncaa.org/people/44340
2014-15,Patrick Johnston,D-II,Conference Carolinas,3,10,0,.231,,https://stats.ncaa.org/teams/106050,https://stats.ncaa.org/people/44340
2013-14,Patrick Johnston,D-II,-,8,7,0,.533,,https://stats.ncaa.org/teams/103617,https://stats.ncaa.org/people/44340
