Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Peter Toner,D-III,Centennial,10,8,0,.556,,https://stats.ncaa.org/teams/571750,https://stats.ncaa.org/people/30930
2022-23,Peter Toner,D-III,Centennial,13,5,0,.722,,https://stats.ncaa.org/teams/547242,https://stats.ncaa.org/people/30930
2021-22,Peter Toner,D-III,Centennial,14,8,0,.636,,https://stats.ncaa.org/teams/530397,https://stats.ncaa.org/people/30930
2020-21,Hank Janczyk,D-III,Centennial,4,2,0,.667,,https://stats.ncaa.org/teams/508190,https://stats.ncaa.org/people/5639
2019-20,Hank Janczyk,D-III,Centennial,6,1,0,.857,,https://stats.ncaa.org/teams/494205,https://stats.ncaa.org/people/5639
2018-19,Hank Janczyk,D-III,Centennial,14,5,0,.737,,https://stats.ncaa.org/teams/473509,https://stats.ncaa.org/people/5639
2017-18,Hank Janczyk,D-III,Centennial,19,3,,.864,,https://stats.ncaa.org/teams/423781,https://stats.ncaa.org/people/5639
2016-17,Hank Janczyk,D-III,Centennial,11,6,0,.647,,https://stats.ncaa.org/teams/110692,https://stats.ncaa.org/people/5639
2015-16,Hank Janczyk,D-III,Centennial,17,3,0,.850,,https://stats.ncaa.org/teams/24112,https://stats.ncaa.org/people/5639
2014-15,Hank Janczyk,D-III,Centennial,20,1,0,.952,,https://stats.ncaa.org/teams/106104,https://stats.ncaa.org/people/5639
2013-14,Hank Janczyk,D-III,Centennial,9,7,0,.563,,https://stats.ncaa.org/teams/103668,https://stats.ncaa.org/people/5639
2012-13,Hank Janczyk,D-III,Centennial,9,7,0,.563,,https://stats.ncaa.org/teams/35320,https://stats.ncaa.org/people/5639
2011-12,Hank Janczyk,D-III,Centennial,11,7,0,.611,,https://stats.ncaa.org/teams/56854,https://stats.ncaa.org/people/5639
2010-11,Hank Janczyk,D-III,Centennial,12,7,0,.632,,https://stats.ncaa.org/teams/29526,https://stats.ncaa.org/people/5639
2009-10,Hank Janczyk,D-III,Centennial,15,3,0,.833,,https://stats.ncaa.org/teams/53363,https://stats.ncaa.org/people/5639
2008-09,Hank Janczyk,D-III,Centennial,16,4,0,.800,,https://stats.ncaa.org/teams/95490,https://stats.ncaa.org/people/5639
2007-08,Hank Janczyk,D-III,Centennial,17,3,0,.850,,https://stats.ncaa.org/teams/407931,https://stats.ncaa.org/people/5639
2006-07,Hank Janczyk,D-III,Centennial,16,3,0,.842,,https://stats.ncaa.org/teams/178868,https://stats.ncaa.org/people/5639
2005-06,Hank Janczyk,D-III,Centennial,17,2,0,.895,,https://stats.ncaa.org/teams/222263,https://stats.ncaa.org/people/5639
2004-05,Hank Janczyk,D-III,Centennial,15,4,0,.789,,https://stats.ncaa.org/teams/222046,https://stats.ncaa.org/people/5639
2003-04,Hank Janczyk,D-III,-,14,4,0,.778,,https://stats.ncaa.org/teams/179511,https://stats.ncaa.org/people/5639
2002-03,Hank Janczyk,D-III,Centennial,11,5,0,.688,,https://stats.ncaa.org/teams/179306,https://stats.ncaa.org/people/5639
2001-02,Hank Janczyk,D-III,Centennial,17,2,0,.895,,https://stats.ncaa.org/teams/179105,https://stats.ncaa.org/people/5639
2000-01,Hank Janczyk,D-III,-,16,2,0,.889,,https://stats.ncaa.org/teams/141151,https://stats.ncaa.org/people/5639
1999-00,Hank Janczyk,D-III,-,14,2,0,.875,,https://stats.ncaa.org/teams/140971,https://stats.ncaa.org/people/5639
1998-99,Hank Janczyk,D-III,-,13,3,0,.813,,https://stats.ncaa.org/teams/221868,https://stats.ncaa.org/people/5639
1997-98,Hank Janczyk,D-III,-,11,5,0,.688,,https://stats.ncaa.org/teams/221704,https://stats.ncaa.org/people/5639
1996-97,Hank Janczyk,D-III,-,11,5,0,.688,,https://stats.ncaa.org/teams/370953,https://stats.ncaa.org/people/5639
1995-96,Hank Janczyk,D-III,-,9,5,0,.643,,https://stats.ncaa.org/teams/336748,https://stats.ncaa.org/people/5639
1994-95,Hank Janczyk,D-III,-,13,2,0,.867,,https://stats.ncaa.org/teams/221558,https://stats.ncaa.org/people/5639
1993-94,Hank Janczyk,D-III,-,12,2,0,.857,,https://stats.ncaa.org/teams/221416,https://stats.ncaa.org/people/5639
1992-93,Hank Janczyk,D-III,-,9,4,0,.692,,https://stats.ncaa.org/teams/221277,https://stats.ncaa.org/people/5639
1991-92,Hank Janczyk,D-III,-,12,3,0,.800,,https://stats.ncaa.org/teams/299951,https://stats.ncaa.org/people/5639
1990-91,Hank Janczyk,D-III,-,12,2,0,.857,,https://stats.ncaa.org/teams/407781,https://stats.ncaa.org/people/5639
1989-90,Hank Janczyk,D-III,-,9,4,0,.692,,https://stats.ncaa.org/teams/178722,https://stats.ncaa.org/people/5639
1988-89,Hank Janczyk,D-III,-,12,3,0,.800,,https://stats.ncaa.org/teams/140835,https://stats.ncaa.org/people/5639
1987-88,Hank Janczyk,D-III,-,9,5,0,.643,,https://stats.ncaa.org/teams/370825,https://stats.ncaa.org/people/5639
1986-87,Joe Donolli,D-III,-,7,6,0,.538,,https://stats.ncaa.org/teams/370710,https://stats.ncaa.org/people/10993
1985-86,Joe Donolli,D-III,-,4,6,0,.400,,https://stats.ncaa.org/teams/370599,https://stats.ncaa.org/people/10993
1984-85,Joe Donolli,D-III,-,10,5,0,.667,,https://stats.ncaa.org/teams/336629,https://stats.ncaa.org/people/10993
1983-84,Joe Donolli,D-III,-,6,9,0,.400,,https://stats.ncaa.org/teams/336522,https://stats.ncaa.org/people/10993
