Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Dan Russo,D-III,CCC,13,6,0,.684,,https://stats.ncaa.org/teams/571567,https://stats.ncaa.org/people/39312
2022-23,Dan Russo,D-III,CCC,5,12,0,.294,,https://stats.ncaa.org/teams/547057,https://stats.ncaa.org/people/39312
2021-22,Dan Russo,D-III,CCC,8,8,0,.500,,https://stats.ncaa.org/teams/530265,https://stats.ncaa.org/people/39312
2020-21,Dan Russo,D-III,CCC,3,6,0,.333,,https://stats.ncaa.org/teams/508056,https://stats.ncaa.org/people/39312
2019-20,Dan Russo,D-III,CCC,4,1,0,.800,,https://stats.ncaa.org/teams/494073,https://stats.ncaa.org/people/39312
2018-19,Dan Russo,D-III,CCC,6,12,0,.333,,https://stats.ncaa.org/teams/473374,https://stats.ncaa.org/people/39312
2017-18,Dan Russo,D-III,CCC,6,8,,.429,,https://stats.ncaa.org/teams/423644,https://stats.ncaa.org/people/39312
2016-17,Dan Russo,D-III,CCC,6,10,0,.375,,https://stats.ncaa.org/teams/110792,https://stats.ncaa.org/people/39312
2015-16,Dan Russo,D-III,CCC,4,13,0,.235,,https://stats.ncaa.org/teams/24209,https://stats.ncaa.org/people/39312
2014-15,Dan Russo,D-III,CCC,9,8,0,.529,,https://stats.ncaa.org/teams/106198,https://stats.ncaa.org/people/39312
2013-14,Dan Russo,D-III,CCC,7,9,0,.438,,https://stats.ncaa.org/teams/103759,https://stats.ncaa.org/people/39312
2012-13,Dan Russo,D-III,CCC,11,7,0,.611,,https://stats.ncaa.org/teams/35408,https://stats.ncaa.org/people/39312
2011-12,Dan Russo,D-III,CCC,2,11,0,.154,,https://stats.ncaa.org/teams/56937,https://stats.ncaa.org/people/39312
2010-11,Paul Murphy,D-III,CCC,3,10,0,.231,,https://stats.ncaa.org/teams/29613,https://stats.ncaa.org/people/7290
2009-10,Paul Murphy,D-III,CCC,5,9,0,.357,,https://stats.ncaa.org/teams/53448,https://stats.ncaa.org/people/7290
2008-09,Paul Murphy,D-III,CCC,6,7,0,.462,,https://stats.ncaa.org/teams/95571,https://stats.ncaa.org/people/7290
2007-08,Paul Murphy,D-III,CCC,7,8,0,.467,,https://stats.ncaa.org/teams/408061,https://stats.ncaa.org/people/7290
2006-07,Paul Murphy,D-III,CCC,7,7,0,.500,,https://stats.ncaa.org/teams/178992,https://stats.ncaa.org/people/7290
2005-06,Paul Murphy,D-III,CCC,5,8,0,.385,,https://stats.ncaa.org/teams/222386,https://stats.ncaa.org/people/7290
2004-05,Paul Murphy,D-III,CCC,6,7,0,.462,,https://stats.ncaa.org/teams/222168,https://stats.ncaa.org/people/7290
2003-04,Paul Murphy,D-III,-,9,7,0,.563,,https://stats.ncaa.org/teams/179631,https://stats.ncaa.org/people/7290
2002-03,Paul Murphy,D-III,CCC,6,7,0,.462,,https://stats.ncaa.org/teams/179422,https://stats.ncaa.org/people/7290
2001-02,Paul Murphy,D-III,CCC,5,8,0,.385,,https://stats.ncaa.org/teams/179220,https://stats.ncaa.org/people/7290
2000-01,Paul Murphy,D-III,-,7,6,0,.538,,https://stats.ncaa.org/teams/141257,https://stats.ncaa.org/people/7290
1999-00,Aaron Koproski,D-III,-,7,7,0,.500,,https://stats.ncaa.org/teams/141076,https://stats.ncaa.org/people/24802
1998-99,Brian Silcott,D-III,-,9,5,0,.643,,https://stats.ncaa.org/teams/221969,https://stats.ncaa.org/people/4681
1997-98,Rich Bernasconi,D-III,-,5,8,0,.385,,https://stats.ncaa.org/teams/221804,https://stats.ncaa.org/people/24803
1996-97,Rich Bernasconi,D-III,-,4,4,0,.500,,https://stats.ncaa.org/teams/371048,https://stats.ncaa.org/people/24803
