Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Bill Cosentino,D-III,Great Northeast,10,8,0,.556,,https://stats.ncaa.org/teams/571527,https://stats.ncaa.org/people/45009
2022-23,Bill Cosentino,D-III,Great Northeast,10,8,0,.556,,https://stats.ncaa.org/teams/547017,https://stats.ncaa.org/people/45009
2021-22,Bill Cosentino,D-III,Great Northeast,5,13,0,.278,,https://stats.ncaa.org/teams/530225,https://stats.ncaa.org/people/45009
2020-21,Bill Cosentino,D-III,Great Northeast,5,3,0,.625,,https://stats.ncaa.org/teams/508015,https://stats.ncaa.org/people/45009
2019-20,Bill Cosentino,D-III,Great Northeast,3,1,0,.750,,https://stats.ncaa.org/teams/494031,https://stats.ncaa.org/people/45009
2018-19,Bill Cosentino,D-III,Great Northeast,12,5,0,.706,,https://stats.ncaa.org/teams/473575,https://stats.ncaa.org/people/45009
2017-18,Bill Cosentino,D-III,Great Northeast,10,9,,.526,,https://stats.ncaa.org/teams/423849,https://stats.ncaa.org/people/45009
2016-17,Bill Cosentino,D-III,Great Northeast,6,10,0,.375,,https://stats.ncaa.org/teams/110760,https://stats.ncaa.org/people/45009
2015-16,David Beriau,D-III,Great Northeast,5,11,0,.313,,https://stats.ncaa.org/teams/24177,https://stats.ncaa.org/people/43794
2014-15,David Beriau,D-III,Great Northeast,5,9,0,.357,,https://stats.ncaa.org/teams/106166,https://stats.ncaa.org/people/43794
2013-14,David Beriau,D-III,Great Northeast,6,8,0,.429,,https://stats.ncaa.org/teams/103729,https://stats.ncaa.org/people/43794
2012-13,Mike Edgar,D-III,Great Northeast,7,10,0,.412,,https://stats.ncaa.org/teams/35378,https://stats.ncaa.org/people/33830
2011-12,Mike Edgar,D-III,Great Northeast,8,10,0,.444,,https://stats.ncaa.org/teams/56907,https://stats.ncaa.org/people/33830
2010-11,Mike Edgar,D-III,Great Northeast,10,8,0,.556,,https://stats.ncaa.org/teams/29583,https://stats.ncaa.org/people/33830
2009-10,Mike Edgar,D-III,North Atlantic,10,8,0,.556,,https://stats.ncaa.org/teams/53419,https://stats.ncaa.org/people/33830
2008-09,Mike Edgar,D-III,North Atlantic,4,13,0,.235,,https://stats.ncaa.org/teams/95542,https://stats.ncaa.org/people/33830
2007-08,Mike Edgar,D-III,-,2,9,0,.182,,https://stats.ncaa.org/teams/408017,https://stats.ncaa.org/people/33830
