Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2017-18,Andrew Fink,D-III,Great Northeast,8,9,,.471,,https://stats.ncaa.org/teams/423709,https://stats.ncaa.org/people/26602
2016-17,Andrew Fink,D-III,Great Northeast,14,5,0,.737,,https://stats.ncaa.org/teams/110857,https://stats.ncaa.org/people/26602
2015-16,Andrew Fink,D-III,Great Northeast,9,9,0,.500,,https://stats.ncaa.org/teams/24272,https://stats.ncaa.org/people/26602
2014-15,Andrew Fink,D-III,Great Northeast,11,5,0,.688,,https://stats.ncaa.org/teams/106258,https://stats.ncaa.org/people/26602
2013-14,Andrew Fink,D-III,Great Northeast,9,8,0,.529,,https://stats.ncaa.org/teams/103820,https://stats.ncaa.org/people/26602
2012-13,Andrew Fink,D-III,Great Northeast,11,8,0,.579,,https://stats.ncaa.org/teams/35466,https://stats.ncaa.org/people/26602
2011-12,Andrew Fink,D-III,Great Northeast,15,5,0,.750,,https://stats.ncaa.org/teams/56992,https://stats.ncaa.org/people/26602
2010-11,Andrew Fink,D-III,Great Northeast,11,7,0,.611,,https://stats.ncaa.org/teams/29665,https://stats.ncaa.org/people/26602
2009-10,Andrew Fink,D-III,North Atlantic,12,7,0,.632,,https://stats.ncaa.org/teams/53493,https://stats.ncaa.org/people/26602
2008-09,Andrew Fink,D-III,North Atlantic,13,7,0,.650,,https://stats.ncaa.org/teams/95611,https://stats.ncaa.org/people/26602
2007-08,Andrew Fink,D-III,North Atlantic,13,6,0,.684,,https://stats.ncaa.org/teams/408111,https://stats.ncaa.org/people/26602
2006-07,Andrew Fink,D-III,North Atlantic,13,4,0,.765,,https://stats.ncaa.org/teams/179040,https://stats.ncaa.org/people/26602
2005-06,Andrew Fink,D-III,North Atlantic,14,3,0,.824,,https://stats.ncaa.org/teams/222432,https://stats.ncaa.org/people/26602
2004-05,Andrew Fink,D-III,-,9,5,0,.643,,https://stats.ncaa.org/teams/222211,https://stats.ncaa.org/people/26602
2003-04,Andrew Fink,D-III,-,9,3,,.750,,https://stats.ncaa.org/teams/179672,https://stats.ncaa.org/people/26602
2002-03,,D-III,-,5,7,0,.417,,https://stats.ncaa.org/teams/179462,
2001-02,,,-,,,,,,https://stats.ncaa.org/teams/563151,
