Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Kevin Conry,D-I,Big Ten,10,6,0,.625,,https://stats.ncaa.org/teams/571415,https://stats.ncaa.org/people/1975148
2022-23,Kevin Conry,D-I,Big Ten,10,7,0,.588,,https://stats.ncaa.org/teams/546907,https://stats.ncaa.org/people/1975148
2021-22,Kevin Conry,D-I,Big Ten,7,8,0,.467,,https://stats.ncaa.org/teams/530059,https://stats.ncaa.org/people/1975148
2020-21,Kevin Conry,D-I,Big Ten,3,9,0,.250,,https://stats.ncaa.org/teams/507852,https://stats.ncaa.org/people/1975148
2019-20,Kevin Conry,D-I,Big Ten,4,3,0,.571,,https://stats.ncaa.org/teams/493871,https://stats.ncaa.org/people/1975148
2018-19,Kevin Conry,D-I,Big Ten,4,9,0,.308,,https://stats.ncaa.org/teams/473263,https://stats.ncaa.org/people/1975148
2017-18,Kevin Conry,D-I,Big Ten,8,6,,.571,,https://stats.ncaa.org/teams/423539,https://stats.ncaa.org/people/1975148
2016-17,John Paul,D-I,Big Ten,8,6,0,.571,,https://stats.ncaa.org/teams/110541,https://stats.ncaa.org/people/40230
2015-16,John Paul,D-I,Big Ten,3,10,0,.231,,https://stats.ncaa.org/teams/23961,https://stats.ncaa.org/people/40230
2014-15,John Paul,D-I,Big Ten,5,8,0,.385,,https://stats.ncaa.org/teams/105960,https://stats.ncaa.org/people/40230
2013-14,John Paul,D-I,ECAC,5,11,0,.313,,https://stats.ncaa.org/teams/103530,https://stats.ncaa.org/people/40230
2012-13,John Paul,D-I,ECAC,1,13,0,.071,,https://stats.ncaa.org/teams/35193,https://stats.ncaa.org/people/40230
2011-12,John Paul,D-I,ECAC,1,13,0,.071,Inaugural Varsity Season,https://stats.ncaa.org/teams/56741,https://stats.ncaa.org/people/40230
