Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Jay Mayes,D-III,Midwest Lacrosse Conference,6,6,0,.500,,https://stats.ncaa.org/teams/571687,https://stats.ncaa.org/people/46182
2022-23,Jay Mayes,D-III,Midwest Lacrosse Conference,3,9,0,.250,,https://stats.ncaa.org/teams/547178,https://stats.ncaa.org/people/46182
2021-22,Jay Mayes,D-III,Midwest Lacrosse Conference,3,10,0,.231,,https://stats.ncaa.org/teams/530330,https://stats.ncaa.org/people/46182
2020-21,Travis Sanders,D-III,Midwest Lacrosse Conference,7,4,0,.636,,https://stats.ncaa.org/teams/508123,https://stats.ncaa.org/people/2461307
2019-20,Travis Sanders,D-III,Midwest Lacrosse Conference,3,0,0,1.000,,https://stats.ncaa.org/teams/494137,https://stats.ncaa.org/people/2461307
2018-19,Travis Sanders,D-III,Midwest Lacrosse Conference,8,6,0,.571,,https://stats.ncaa.org/teams/473441,https://stats.ncaa.org/people/2461307
2017-18,Travis Sanders,D-III,DIII Independent,9,4,,.692,,https://stats.ncaa.org/teams/423713,https://stats.ncaa.org/people/2461307
2016-17,Jay Mayes,D-III,-,4,7,0,.364,,https://stats.ncaa.org/teams/110861,https://stats.ncaa.org/people/46182
