Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Rodney Tapp (0-4)Mike Brisbin (2-10),D-II,SAC,2,14,0,.125,,https://stats.ncaa.org/teams/571490,https://stats.ncaa.org/people/2633360
2022-23,Rodney Tapp,D-II,SAC,4,11,0,.267,,https://stats.ncaa.org/teams/546982,https://stats.ncaa.org/people/2633360
2021-22,Rodney Tapp,D-II,SAC,9,7,0,.563,,https://stats.ncaa.org/teams/530118,https://stats.ncaa.org/people/2633360
2020-21,Richard Carrington,D-II,SAC,7,5,0,.583,,https://stats.ncaa.org/teams/507909,https://stats.ncaa.org/people/37650
2019-20,Richard Carrington,D-II,SAC,4,3,0,.571,,https://stats.ncaa.org/teams/493954,https://stats.ncaa.org/people/37650
2018-19,Richard Carrington,D-II,SAC,7,7,0,.500,,https://stats.ncaa.org/teams/473345,https://stats.ncaa.org/people/37650
2017-18,Richard Carrington,D-II,SAC,4,9,,.308,,https://stats.ncaa.org/teams/423622,https://stats.ncaa.org/people/37650
2016-17,Richard Carrington,D-II,SAC,11,4,0,.733,,https://stats.ncaa.org/teams/110624,https://stats.ncaa.org/people/37650
2015-16,Richard Carrington,D-II,SAC,5,10,0,.333,,https://stats.ncaa.org/teams/24043,https://stats.ncaa.org/people/37650
2014-15,Richard Carrington,D-II,SAC,5,8,0,.385,,https://stats.ncaa.org/teams/106037,https://stats.ncaa.org/people/37650
2013-14,Richard Carrington,D-II,SAC,5,8,0,.385,Inaugural varsity season,https://stats.ncaa.org/teams/103603,https://stats.ncaa.org/people/37650
