Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2023-24,Tony Tatro,D-III,OAC,10,7,0,.588,,https://stats.ncaa.org/teams/571710,https://stats.ncaa.org/people/2667397
2022-23,Tony Tatro,D-III,OAC,16,3,0,.842,,https://stats.ncaa.org/teams/547202,https://stats.ncaa.org/people/2667397
2021-22,Tony Tatro,D-III,OAC,14,4,0,.778,,https://stats.ncaa.org/teams/530356,https://stats.ncaa.org/people/2667397
2020-21,Trey Keeley,D-III,OAC,13,2,0,.867,,https://stats.ncaa.org/teams/508149,https://stats.ncaa.org/people/1978032
2019-20,Trey Keeley,D-III,OAC,2,4,0,.333,,https://stats.ncaa.org/teams/494163,https://stats.ncaa.org/people/1978032
2018-19,Trey Keeley,D-III,OAC,14,3,0,.824,,https://stats.ncaa.org/teams/473467,https://stats.ncaa.org/people/1978032
2017-18,Trey Keeley,D-III,OAC,11,5,,.688,,https://stats.ncaa.org/teams/423739,https://stats.ncaa.org/people/1978032
2016-17,Jason Tarnow,D-III,OAC,12,3,0,.800,,https://stats.ncaa.org/teams/110650,https://stats.ncaa.org/people/5798
2015-16,Jason Tarnow,D-III,OAC,14,3,0,.824,,https://stats.ncaa.org/teams/24069,https://stats.ncaa.org/people/5798
2014-15,Jason Tarnow,D-III,OAC,12,3,0,.800,,https://stats.ncaa.org/teams/106062,https://stats.ncaa.org/people/5798
2013-14,Jason Tarnow,D-III,OAC,7,7,0,.500,,https://stats.ncaa.org/teams/103629,https://stats.ncaa.org/people/5798
2012-13,Jason Tarnow,D-III,-,6,5,0,.545,Inaugural Varsity Season,https://stats.ncaa.org/teams/35283,https://stats.ncaa.org/people/5798
