Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
1978-79,Jim Planut,D-I,-,4,7,,.364,Last Year of Program,https://stats.ncaa.org/teams/257379,https://stats.ncaa.org/people/31359
1977-78,Jim Planut,D-I,-,3,4,,.429,,https://stats.ncaa.org/teams/336413,https://stats.ncaa.org/people/31359
1976-77,Jim Planut,D-I,-,4,4,,.500,,https://stats.ncaa.org/teams/178611,https://stats.ncaa.org/people/31359
1975-76,Jim Planut,D-I,-,7,1,,.875,,https://stats.ncaa.org/teams/370390,https://stats.ncaa.org/people/31359
1974-75,Mickey Cochrane,D-I,-,9,1,,.900,,https://stats.ncaa.org/teams/407576,https://stats.ncaa.org/people/31358
1973-74,Mickey Cochrane,D-I,-,9,0,,1.000,,https://stats.ncaa.org/teams/257295,https://stats.ncaa.org/people/31358
1972-73,Mickey Cochrane,D-I,-,8,3,,.727,,https://stats.ncaa.org/teams/221071,https://stats.ncaa.org/people/31358
1971-72,Mickey Cochrane,D-I,-,6,4,,.600,,https://stats.ncaa.org/teams/370313,https://stats.ncaa.org/people/31358
1970-71,Mickey Cochrane,D-I,-,6,2,,.750,,https://stats.ncaa.org/teams/336339,https://stats.ncaa.org/people/31358
1969-70,Mickey Cochrane,D-I,-,9,0,,1.000,,https://stats.ncaa.org/teams/178538,https://stats.ncaa.org/people/31358
1968-69,Mickey Cochrane,D-I,-,11,1,,.917,,https://stats.ncaa.org/teams/336271,https://stats.ncaa.org/people/31358
1967-68,Mickey Cochrane,D-I,-,8,3,,.727,,https://stats.ncaa.org/teams/336205,https://stats.ncaa.org/people/31358
1966-67,Mickey Cochrane,D-I,-,5,5,,.500,,https://stats.ncaa.org/teams/221008,https://stats.ncaa.org/people/31358
1965-66,Mickey Cochrane,D-I,-,6,3,,.667,Inaugural Varsity Season,https://stats.ncaa.org/teams/299866,https://stats.ncaa.org/people/31358
