Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes,team_url,coach_url
2010-11,Mike Gongas,D-I,Presbyterian,2,10,0,.167,Program Discontinued After '11 Season,https://stats.ncaa.org/teams/29444,https://stats.ncaa.org/people/36664
2009-10,Mike Gongas,D-I,Presbyterian,1,9,0,.100,,https://stats.ncaa.org/teams/53291,https://stats.ncaa.org/people/36664
2008-09,Jason Childs,D-I,Presbyterian,1,11,0,.083,,https://stats.ncaa.org/teams/95423,https://stats.ncaa.org/people/30931
2007-08,Jason Childs,D-II,-,0,11,0,.000,,https://stats.ncaa.org/teams/408086,https://stats.ncaa.org/people/30931
2006-07,Jason Childs,D-II,Deep South,3,11,0,.214,,https://stats.ncaa.org/teams/179015,https://stats.ncaa.org/people/30931
2005-06,Jason Childs,D-II,Deep South,2,9,0,.182,First Season of Varsity Competition,https://stats.ncaa.org/teams/222409,https://stats.ncaa.org/people/30931
